"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0072104,1,0,0,0.5,0
0.017473,1,0.001,0.001,0.5,0
0.027736,1,0.002,0.002,0.5,0
0.037999,1,0.003,0.003,0.5,0
0.048262,1,0.004,0.004,0.5,0
0.058525,1,0.005,0.005,0.5,0
0.068788,1,0.006,0.006,0.5,0
0.079051,1,0.007,0.007,0.5,0
0.089314,1,0.008,0.008,0.5,0
0.099577,1,0.009,0.009,0.5,0
0.10984,1,0.01,0.01,0.5,0
0.1201,1,0.011,0.011,0.5,0
0.13037,1,0.012,0.012,0.5,0
0.14063,1,0.013,0.013,0.5,0
0.15089,1,0.014,0.014,0.5,0
0.16116,1,0.015,0.015,0.5,0
0.17142,1,0.016,0.016,0.5,0
0.18168,1,0.017,0.017,0.5,0
0.19194,1,0.018,0.018,0.5,0
0.20221,1,0.019,0.019,0.5,0
0.21247,1,0.02,0.02,0.5,0
0.22273,1,0.021,0.021,0.5,0
0.233,1,0.022,0.022,0.5,0
0.24326,1,0.023,0.023,0.5,0
0.25352,1,0.024,0.024,0.5,0
0.26379,1,0.025,0.025,0.5,0
0.27405,1,0.026,0.026,0.5,0
0.28431,1,0.027,0.027,0.5,0
0.29457,1,0.028,0.028,0.5,0
0.30484,1,0.029,0.029,0.5,0
0.3151,1,0.03,0.03,0.5,0
0.32536,1,0.031,0.031,0.5,0
0.33563,1,0.032,0.032,0.5,0
0.34589,1,0.033,0.033,0.5,0
0.35615,1,0.034,0.034,0.5,0
0.36642,1,0.035,0.035,0.5,0
0.37668,1,0.036,0.036,0.5,0
0.38694,1,0.037,0.037,0.5,0
0.3972,1,0.038,0.038,0.5,0
0.40747,1,0.039,0.039,0.5,0
0.41773,1,0.04,0.04,0.5,0
0.42799,1,0.041,0.041,0.5,0
0.43826,1,0.042,0.042,0.5,0
0.44852,1,0.043,0.043,0.5,0
0.45878,1,0.044,0.044,0.5,0
0.46905,1,0.045,0.045,0.5,0
0.47931,1,0.046,0.046,0.5,0
0.48957,1,0.047,0.047,0.5,0
0.49984,1,0.048,0.048,0.5,0
0.5101,1,0.049,0.049,0.5,0
0.52036,1,0.05,0.05,0.5,0
0.53062,1,0.051,0.051,0.5,0
0.54089,1,0.052,0.052,0.5,0
0.55115,1,0.053,0.053,0.5,0
0.56141,1,0.054,0.054,0.5,0
0.57168,1,0.055,0.055,0.5,0
0.58194,1,0.056,0.056,0.5,0
0.5922,1,0.057,0.057,0.5,0
0.60247,1,0.058,0.058,0.5,0
0.61273,1,0.059,0.059,0.5,0
0.62299,1,0.06,0.06,0.5,0
0.63325,1,0.061,0.061,0.5,0
0.64352,1,0.062,0.062,0.5,0
0.65336,1,0.063,0.063,0.5,0
0.66158,1,0.064,0.064,0.5,0
0.6698,1,0.065,0.065,0.5,0
0.67802,1,0.066,0.066,0.5,0
0.68625,1,0.067,0.067,0.5,0
0.69447,1,0.068,0.068,0.5,0
0.70269,1,0.069,0.069,0.5,0
0.71091,1,0.07,0.07,0.5,0
0.71913,1,0.071,0.071,0.5,0
0.72736,1,0.072,0.072,0.5,0
0.73558,1,0.073,0.073,0.5,0
0.7438,1,0.074,0.074,0.5,0
0.75202,1,0.075,0.075,0.5,0
0.76025,1,0.076,0.076,0.5,0
0.76847,1,0.077,0.077,0.5,0
0.77669,1,0.078,0.078,0.5,0
0.78491,1,0.079,0.079,0.5,0
0.79313,1,0.08,0.08,0.5,0
0.80136,1,0.081,0.081,0.5,0
0.80958,1,0.082,0.082,0.5,0
0.8178,1,0.083,0.083,0.5,0
0.82602,1,0.084,0.084,0.5,0
0.83425,1,0.085,0.085,0.5,0
0.84247,1,0.086,0.086,0.5,0
0.85069,1,0.087,0.087,0.5,0
0.85891,1,0.088,0.088,0.5,0
0.86713,1,0.089,0.089,0.5,0
0.87536,1,0.09,0.09,0.5,0
0.88358,1,0.091,0.091,0.5,0
0.8918,1,0.092,0.092,0.5,0
0.90002,1,0.093,0.093,0.5,0
0.90824,1,0.094,0.094,0.5,0
0.91647,1,0.095,0.095,0.5,0
0.92469,1,0.096,0.096,0.5,0
0.93291,1,0.097,0.097,0.5,0
0.94113,1,0.098,0.098,0.5,0
0.94936,1,0.099,0.099,0.5,0
0.95758,1,0.1,0.1,0.5,0
0.9658,1,0.101,0.101,0.5,0
0.97402,1,0.102,0.102,0.5,0
0.98224,1,0.103,0.103,0.5,0
0.99047,1,0.104,0.104,0.5,0
0.99869,1,0.105,0.105,0.5,0
1.0069,1,0.106,0.106,0.5,0
1.0151,1,0.107,0.107,0.5,0
1.0234,1,0.108,0.108,0.5,0
1.0316,1,0.109,0.109,0.5,0
1.0398,1,0.11,0.11,0.5,0
1.048,1,0.111,0.111,0.5,0
1.0562,1,0.112,0.112,0.5,0
1.0645,1,0.113,0.113,0.5,0
1.0727,1,0.114,0.114,0.5,0
1.0809,1,0.115,0.115,0.5,0
1.0891,1,0.116,0.116,0.5,0
1.0974,1,0.117,0.117,0.5,0
1.1056,1,0.118,0.118,0.5,0
1.1138,1,0.119,0.119,0.5,0
1.122,1,0.12,0.12,0.5,0
1.1302,1,0.121,0.121,0.5,0
1.1385,1,0.122,0.122,0.5,0
1.1467,1,0.123,0.123,0.5,0
1.1549,1,0.124,0.124,0.5,0
1.1635,1,0.125,0.125,0.5,0
1.17,1,0.126,0.126,0.5,0
1.1765,1,0.127,0.127,0.5,0
1.1829,1,0.128,0.128,0.5,0
1.1894,1,0.129,0.129,0.5,0
1.1959,1,0.13,0.13,0.5,0
1.2023,1,0.131,0.131,0.5,0
1.2088,1,0.132,0.132,0.5,0
1.2153,1,0.133,0.133,0.5,0
1.2218,1,0.134,0.134,0.5,0
1.2282,1,0.135,0.135,0.5,0
1.2347,1,0.136,0.136,0.5,0
1.2412,1,0.137,0.137,0.5,0
1.2476,1,0.138,0.138,0.5,0
1.2541,1,0.139,0.139,0.5,0
1.2606,1,0.14,0.14,0.5,0
1.2671,1,0.141,0.141,0.5,0
1.2735,1,0.142,0.142,0.5,0
1.28,1,0.143,0.143,0.5,0
1.2865,1,0.144,0.144,0.5,0
1.2929,1,0.145,0.145,0.5,0
1.2994,1,0.146,0.146,0.5,0
1.3059,1,0.147,0.147,0.5,0
1.3123,1,0.148,0.148,0.5,0
1.3188,1,0.149,0.149,0.5,0
1.3253,1,0.15,0.15,0.5,0
1.3318,1,0.151,0.151,0.5,0
1.3382,1,0.152,0.152,0.5,0
1.3447,1,0.153,0.153,0.5,0
1.3512,1,0.154,0.154,0.5,0
1.3576,1,0.155,0.155,0.5,0
1.3641,1,0.156,0.156,0.5,0
1.3706,1,0.157,0.157,0.5,0
1.3771,1,0.158,0.158,0.5,0
1.3835,1,0.159,0.159,0.5,0
1.39,1,0.16,0.16,0.5,0
1.3965,1,0.161,0.161,0.5,0
1.4029,1,0.162,0.162,0.5,0
1.4094,1,0.163,0.163,0.5,0
1.4159,1,0.164,0.164,0.5,0
1.4224,1,0.165,0.165,0.5,0
1.4288,1,0.166,0.166,0.5,0
1.4353,1,0.167,0.167,0.5,0
1.4418,1,0.168,0.168,0.5,0
1.4482,1,0.169,0.169,0.5,0
1.4547,1,0.17,0.17,0.5,0
1.4612,1,0.171,0.171,0.5,0
1.4677,1,0.172,0.172,0.5,0
1.4741,1,0.173,0.173,0.5,0
1.4806,1,0.174,0.174,0.5,0
1.4871,1,0.175,0.175,0.5,0
1.4935,1,0.176,0.176,0.5,0
1.5,1,0.177,0.177,0.5,0
1.5065,1,0.178,0.178,0.5,0
1.513,1,0.179,0.179,0.5,0
1.5194,1,0.18,0.18,0.5,0
1.5259,1,0.181,0.181,0.5,0
1.5324,1,0.182,0.182,0.5,0
1.5388,1,0.183,0.183,0.5,0
1.5453,1,0.184,0.184,0.5,0
1.5518,1,0.185,0.185,0.5,0
1.5583,1,0.186,0.186,0.5,0
1.5647,1,0.187,0.187,0.5,0
1.5708,1,0.188,0.188,0.5,0
1.5757,1,0.189,0.189,0.5,0
1.5807,1,0.19,0.19,0.5,0
1.5857,1,0.191,0.191,0.5,0
1.5906,1,0.192,0.192,0.5,0
1.5956,1,0.193,0.193,0.5,0
1.6006,1,0.194,0.194,0.5,0
1.6055,1,0.195,0.195,0.5,0
1.6105,1,0.196,0.196,0.5,0
1.6154,1,0.197,0.197,0.5,0
1.6204,1,0.198,0.198,0.5,0
1.6254,1,0.199,0.199,0.5,0
1.6303,1,0.2,0.2,0.5,0
1.6353,1,0.201,0.201,0.5,0
1.6403,1,0.202,0.202,0.5,0
1.6452,1,0.203,0.203,0.5,0
1.6502,1,0.204,0.204,0.5,0
1.6551,1,0.205,0.205,0.5,0
1.6601,1,0.206,0.206,0.5,0
1.6651,1,0.207,0.207,0.5,0
1.67,1,0.208,0.208,0.5,0
1.675,1,0.209,0.209,0.5,0
1.68,1,0.21,0.21,0.5,0
1.6849,1,0.211,0.211,0.5,0
1.6899,1,0.212,0.212,0.5,0
1.6949,1,0.213,0.213,0.5,0
1.6998,1,0.214,0.214,0.5,0
1.7048,1,0.215,0.215,0.5,0
1.7097,1,0.216,0.216,0.5,0
1.7147,1,0.217,0.217,0.5,0
1.7197,1,0.218,0.218,0.5,0
1.7246,1,0.219,0.219,0.5,0
1.7296,1,0.22,0.22,0.5,0
1.7346,1,0.221,0.221,0.5,0
1.7395,1,0.222,0.222,0.5,0
1.7445,1,0.223,0.223,0.5,0
1.7494,1,0.224,0.224,0.5,0
1.7544,1,0.225,0.225,0.5,0
1.7594,1,0.226,0.226,0.5,0
1.7643,1,0.227,0.227,0.5,0
1.7693,1,0.228,0.228,0.5,0
1.7743,1,0.229,0.229,0.5,0
1.7792,1,0.23,0.23,0.5,0
1.7842,1,0.231,0.231,0.5,0
1.7891,1,0.232,0.232,0.5,0
1.7941,1,0.233,0.233,0.5,0
1.7991,1,0.234,0.234,0.5,0
1.804,1,0.235,0.235,0.5,0
1.809,1,0.236,0.236,0.5,0
1.814,1,0.237,0.237,0.5,0
1.8189,1,0.238,0.238,0.5,0
1.8239,1,0.239,0.239,0.5,0
1.8288,1,0.24,0.24,0.5,0
1.8338,1,0.241,0.241,0.5,0
1.8388,1,0.242,0.242,0.5,0
1.8437,1,0.243,0.243,0.5,0
1.8487,1,0.244,0.244,0.5,0
1.8537,1,0.245,0.245,0.5,0
