"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0072106,1,0,0,0.5,0
0.017473,1,0.001,0.001,0.5,0
0.027735,1,0.002,0.002,0.5,0
0.037997,1,0.003,0.003,0.5,0
0.048259,1,0.004,0.004,0.5,0
0.058521,1,0.005,0.005,0.5,0
0.068783,1,0.006,0.006,0.5,0
0.079045,1,0.007,0.007,0.5,0
0.089308,1,0.008,0.008,0.5,0
0.09957,1,0.009,0.009,0.5,0
0.10983,1,0.01,0.01,0.5,0
0.12009,1,0.011,0.011,0.5,0
0.13036,1,0.012,0.012,0.5,0
0.14062,1,0.013,0.013,0.5,0
0.15088,1,0.014,0.014,0.5,0
0.16114,1,0.015,0.015,0.5,0
0.1714,1,0.016,0.016,0.5,0
0.18167,1,0.017,0.017,0.5,0
0.19193,1,0.018,0.018,0.5,0
0.20219,1,0.019,0.019,0.5,0
0.21245,1,0.02,0.02,0.5,0
0.22272,1,0.021,0.021,0.5,0
0.23298,1,0.022,0.022,0.5,0
0.24324,1,0.023,0.023,0.5,0
0.2535,1,0.024,0.024,0.5,0
0.26376,1,0.025,0.025,0.5,0
0.27403,1,0.026,0.026,0.5,0
0.28429,1,0.027,0.027,0.5,0
0.29455,1,0.028,0.028,0.5,0
0.30481,1,0.029,0.029,0.5,0
0.31507,1,0.03,0.03,0.5,0
0.32534,1,0.031,0.031,0.5,0
0.3356,1,0.032,0.032,0.5,0
0.34586,1,0.033,0.033,0.5,0
0.35612,1,0.034,0.034,0.5,0
0.36638,1,0.035,0.035,0.5,0
0.37665,1,0.036,0.036,0.5,0
0.38691,1,0.037,0.037,0.5,0
0.39717,1,0.038,0.038,0.5,0
0.40743,1,0.039,0.039,0.5,0
0.4177,1,0.04,0.04,0.5,0
0.42796,1,0.041,0.041,0.5,0
0.43822,1,0.042,0.042,0.5,0
0.44848,1,0.043,0.043,0.5,0
0.45874,1,0.044,0.044,0.5,0
0.46901,1,0.045,0.045,0.5,0
0.47927,1,0.046,0.046,0.5,0
0.48953,1,0.047,0.047,0.5,0
0.49979,1,0.048,0.048,0.5,0
0.51005,1,0.049,0.049,0.5,0
0.52032,1,0.05,0.05,0.5,0
0.53058,1,0.051,0.051,0.5,0
0.54084,1,0.052,0.052,0.5,0
0.5511,1,0.053,0.053,0.5,0
0.56136,1,0.054,0.054,0.5,0
0.57163,1,0.055,0.055,0.5,0
0.58189,1,0.056,0.056,0.5,0
0.59215,1,0.057,0.057,0.5,0
0.60241,1,0.058,0.058,0.5,0
0.61268,1,0.059,0.059,0.5,0
0.62294,1,0.06,0.06,0.5,0
0.6332,1,0.061,0.061,0.5,0
0.64346,1,0.062,0.062,0.5,0
0.65307,1,0.063,0.063,0.5,0
0.66129,1,0.064,0.064,0.5,0
0.66952,1,0.065,0.065,0.5,0
0.67774,1,0.066,0.066,0.5,0
0.68597,1,0.067,0.067,0.5,0
0.69419,1,0.068,0.068,0.5,0
0.70242,1,0.069,0.069,0.5,0
0.71064,1,0.07,0.07,0.5,0
0.71887,1,0.071,0.071,0.5,0
0.72709,1,0.072,0.072,0.5,0
0.73532,1,0.073,0.073,0.5,0
0.74354,1,0.074,0.074,0.5,0
0.75177,1,0.075,0.075,0.5,0
0.75999,1,0.076,0.076,0.5,0
0.76822,1,0.077,0.077,0.5,0
0.77644,1,0.078,0.078,0.5,0
0.78467,1,0.079,0.079,0.5,0
0.79289,1,0.08,0.08,0.5,0
0.80112,1,0.081,0.081,0.5,0
0.80934,1,0.082,0.082,0.5,0
0.81757,1,0.083,0.083,0.5,0
0.82579,1,0.084,0.084,0.5,0
0.83402,1,0.085,0.085,0.5,0
0.84224,1,0.086,0.086,0.5,0
0.85047,1,0.087,0.087,0.5,0
0.85869,1,0.088,0.088,0.5,0
0.86692,1,0.089,0.089,0.5,0
0.87514,1,0.09,0.09,0.5,0
0.88337,1,0.091,0.091,0.5,0
0.89159,1,0.092,0.092,0.5,0
0.89982,1,0.093,0.093,0.5,0
0.90804,1,0.094,0.094,0.5,0
0.91627,1,0.095,0.095,0.5,0
0.92449,1,0.096,0.096,0.5,0
0.93272,1,0.097,0.097,0.5,0
0.94094,1,0.098,0.098,0.5,0
0.94917,1,0.099,0.099,0.5,0
0.95739,1,0.1,0.1,0.5,0
0.96562,1,0.101,0.101,0.5,0
0.97384,1,0.102,0.102,0.5,0
0.98207,1,0.103,0.103,0.5,0
0.99029,1,0.104,0.104,0.5,0
0.99852,1,0.105,0.105,0.5,0
1.0067,1,0.106,0.106,0.5,0
1.015,1,0.107,0.107,0.5,0
1.0232,1,0.108,0.108,0.5,0
1.0314,1,0.109,0.109,0.5,0
1.0396,1,0.11,0.11,0.5,0
1.0479,1,0.111,0.111,0.5,0
1.0561,1,0.112,0.112,0.5,0
1.0643,1,0.113,0.113,0.5,0
1.0725,1,0.114,0.114,0.5,0
1.0808,1,0.115,0.115,0.5,0
1.089,1,0.116,0.116,0.5,0
1.0972,1,0.117,0.117,0.5,0
1.1054,1,0.118,0.118,0.5,0
1.1137,1,0.119,0.119,0.5,0
1.1219,1,0.12,0.12,0.5,0
1.1301,1,0.121,0.121,0.5,0
1.1383,1,0.122,0.122,0.5,0
1.1466,1,0.123,0.123,0.5,0
1.1548,1,0.124,0.124,0.5,0
1.1633,1,0.125,0.125,0.5,0
1.1698,1,0.126,0.126,0.5,0
1.1763,1,0.127,0.127,0.5,0
1.1827,1,0.128,0.128,0.5,0
1.1892,1,0.129,0.129,0.5,0
1.1957,1,0.13,0.13,0.5,0
1.2021,1,0.131,0.131,0.5,0
1.2086,1,0.132,0.132,0.5,0
1.2151,1,0.133,0.133,0.5,0
1.2216,1,0.134,0.134,0.5,0
1.228,1,0.135,0.135,0.5,0
1.2345,1,0.136,0.136,0.5,0
1.241,1,0.137,0.137,0.5,0
1.2475,1,0.138,0.138,0.5,0
1.2539,1,0.139,0.139,0.5,0
1.2604,1,0.14,0.14,0.5,0
1.2669,1,0.141,0.141,0.5,0
1.2733,1,0.142,0.142,0.5,0
1.2798,1,0.143,0.143,0.5,0
1.2863,1,0.144,0.144,0.5,0
1.2928,1,0.145,0.145,0.5,0
1.2992,1,0.146,0.146,0.5,0
1.3057,1,0.147,0.147,0.5,0
1.3122,1,0.148,0.148,0.5,0
1.3187,1,0.149,0.149,0.5,0
1.3251,1,0.15,0.15,0.5,0
1.3316,1,0.151,0.151,0.5,0
1.3381,1,0.152,0.152,0.5,0
1.3445,1,0.153,0.153,0.5,0
1.351,1,0.154,0.154,0.5,0
1.3575,1,0.155,0.155,0.5,0
1.364,1,0.156,0.156,0.5,0
1.3704,1,0.157,0.157,0.5,0
1.3769,1,0.158,0.158,0.5,0
1.3834,1,0.159,0.159,0.5,0
1.3899,1,0.16,0.16,0.5,0
1.3963,1,0.161,0.161,0.5,0
1.4028,1,0.162,0.162,0.5,0
1.4093,1,0.163,0.163,0.5,0
1.4157,1,0.164,0.164,0.5,0
1.4222,1,0.165,0.165,0.5,0
1.4287,1,0.166,0.166,0.5,0
1.4352,1,0.167,0.167,0.5,0
1.4416,1,0.168,0.168,0.5,0
1.4481,1,0.169,0.169,0.5,0
1.4546,1,0.17,0.17,0.5,0
1.4611,1,0.171,0.171,0.5,0
1.4675,1,0.172,0.172,0.5,0
1.474,1,0.173,0.173,0.5,0
1.4805,1,0.174,0.174,0.5,0
1.4869,1,0.175,0.175,0.5,0
1.4934,1,0.176,0.176,0.5,0
1.4999,1,0.177,0.177,0.5,0
1.5064,1,0.178,0.178,0.5,0
1.5128,1,0.179,0.179,0.5,0
1.5193,1,0.18,0.18,0.5,0
1.5258,1,0.181,0.181,0.5,0
1.5323,1,0.182,0.182,0.5,0
1.5387,1,0.183,0.183,0.5,0
1.5452,1,0.184,0.184,0.5,0
1.5517,1,0.185,0.185,0.5,0
1.5581,1,0.186,0.186,0.5,0
1.5646,1,0.187,0.187,0.5,0
1.5706,1,0.188,0.188,0.5,0
1.5756,1,0.189,0.189,0.5,0
1.5805,1,0.19,0.19,0.5,0
1.5855,1,0.191,0.191,0.5,0
1.5905,1,0.192,0.192,0.5,0
1.5954,1,0.193,0.193,0.5,0
1.6004,1,0.194,0.194,0.5,0
1.6053,1,0.195,0.195,0.5,0
1.6103,1,0.196,0.196,0.5,0
1.6153,1,0.197,0.197,0.5,0
1.6202,1,0.198,0.198,0.5,0
1.6252,1,0.199,0.199,0.5,0
1.6302,1,0.2,0.2,0.5,0
1.6351,1,0.201,0.201,0.5,0
1.6401,1,0.202,0.202,0.5,0
1.6451,1,0.203,0.203,0.5,0
1.65,1,0.204,0.204,0.5,0
1.655,1,0.205,0.205,0.5,0
1.66,1,0.206,0.206,0.5,0
1.6649,1,0.207,0.207,0.5,0
1.6699,1,0.208,0.208,0.5,0
1.6748,1,0.209,0.209,0.5,0
1.6798,1,0.21,0.21,0.5,0
1.6848,1,0.211,0.211,0.5,0
1.6897,1,0.212,0.212,0.5,0
1.6947,1,0.213,0.213,0.5,0
1.6997,1,0.214,0.214,0.5,0
1.7046,1,0.215,0.215,0.5,0
1.7096,1,0.216,0.216,0.5,0
1.7146,1,0.217,0.217,0.5,0
1.7195,1,0.218,0.218,0.5,0
1.7245,1,0.219,0.219,0.5,0
1.7295,1,0.22,0.22,0.5,0
1.7344,1,0.221,0.221,0.5,0
1.7394,1,0.222,0.222,0.5,0
1.7443,1,0.223,0.223,0.5,0
1.7493,1,0.224,0.224,0.5,0
1.7543,1,0.225,0.225,0.5,0
1.7592,1,0.226,0.226,0.5,0
1.7642,1,0.227,0.227,0.5,0
1.7692,1,0.228,0.228,0.5,0
1.7741,1,0.229,0.229,0.5,0
