%%MatrixMarket matrix coordinate real general
% Generated by MFEM
80 192 96
3 20 -5.00000000000000e-01
3 3 -5.00000000000000e-01
4 19 -5.00000000000000e-01
4 4 -5.00000000000000e-01
5 37 -5.00000000000000e-01
5 6 -5.00000000000000e-01
6 38 -5.00000000000000e-01
6 5 -5.00000000000000e-01
11 176 -5.00000000000000e-01
11 15 -5.00000000000000e-01
12 175 -5.00000000000000e-01
12 16 -5.00000000000000e-01
13 25 -5.00000000000000e-01
13 18 -5.00000000000000e-01
14 26 -5.00000000000000e-01
14 17 -5.00000000000000e-01
15 164 -5.00000000000000e-01
15 27 -5.00000000000000e-01
16 163 -5.00000000000000e-01
16 28 -5.00000000000000e-01
17 85 -5.00000000000000e-01
17 30 -5.00000000000000e-01
18 86 -5.00000000000000e-01
18 29 -5.00000000000000e-01
19 39 -5.00000000000000e-01
19 32 -5.00000000000000e-01
20 40 -5.00000000000000e-01
20 31 -5.00000000000000e-01
21 49 -5.00000000000000e-01
21 42 -5.00000000000000e-01
22 50 -5.00000000000000e-01
22 41 -5.00000000000000e-01
25 92 -5.00000000000000e-01
25 51 -5.00000000000000e-01
26 91 -5.00000000000000e-01
26 52 -5.00000000000000e-01
27 61 -5.00000000000000e-01
27 54 -5.00000000000000e-01
28 62 -5.00000000000000e-01
28 53 -5.00000000000000e-01
31 80 -5.00000000000000e-01
31 63 -5.00000000000000e-01
32 79 -5.00000000000000e-01
32 64 -5.00000000000000e-01
37 90 -5.00000000000000e-01
37 73 -5.00000000000000e-01
38 89 -5.00000000000000e-01
38 74 -5.00000000000000e-01
39 116 -5.00000000000000e-01
39 75 -5.00000000000000e-01
40 115 -5.00000000000000e-01
40 76 -5.00000000000000e-01
43 104 -5.00000000000000e-01
43 87 -5.00000000000000e-01
44 103 -5.00000000000000e-01
44 88 -5.00000000000000e-01
45 162 -5.00000000000000e-01
45 97 -5.00000000000000e-01
46 161 -5.00000000000000e-01
46 98 -5.00000000000000e-01
47 140 -5.00000000000000e-01
47 99 -5.00000000000000e-01
48 139 -5.00000000000000e-01
48 100 -5.00000000000000e-01
49 109 -5.00000000000000e-01
49 102 -5.00000000000000e-01
50 110 -5.00000000000000e-01
50 101 -5.00000000000000e-01
51 128 -5.00000000000000e-01
51 111 -5.00000000000000e-01
52 127 -5.00000000000000e-01
52 112 -5.00000000000000e-01
55 138 -5.00000000000000e-01
55 121 -5.00000000000000e-01
56 137 -5.00000000000000e-01
56 122 -5.00000000000000e-01
61 150 -5.00000000000000e-01
61 133 -5.00000000000000e-01
62 149 -5.00000000000000e-01
62 134 -5.00000000000000e-01
65 186 -5.00000000000000e-01
65 145 -5.00000000000000e-01
66 185 -5.00000000000000e-01
66 146 -5.00000000000000e-01
69 159 -5.00000000000000e-01
69 152 -5.00000000000000e-01
70 160 -5.00000000000000e-01
70 151 -5.00000000000000e-01
71 174 -5.00000000000000e-01
71 157 -5.00000000000000e-01
72 173 -5.00000000000000e-01
72 158 -5.00000000000000e-01
75 188 -5.00000000000000e-01
75 171 -5.00000000000000e-01
76 187 -5.00000000000000e-01
76 172 -5.00000000000000e-01
