%%MatrixMarket matrix coordinate real general
% Generated by MFEM
192 80 528
1 4 -3.79632201262734e-04
1 3 1.06241252641969e-03
2 4 1.41680666330174e-03
2 3 -3.96497752719588e-03
3 5 3.94322506031070e-04
3 6 -1.82602576395789e-03
3 4 2.32222616497236e-04
3 3 1.71485163816607e-01
4 5 -1.47163162707584e-03
4 6 6.81482092702062e-03
4 4 1.69727295122939e-01
4 3 2.32222616497236e-04
5 6 1.66666666844772e-01
5 4 6.81482092702062e-03
5 3 -1.47163162707584e-03
6 5 1.66666666844772e-01
6 4 -1.82602576395789e-03
6 3 3.94322506031070e-04
7 5 -3.96497752719588e-03
7 6 1.41680666330174e-03
8 5 1.06241252641969e-03
8 6 -3.79632201262734e-04
9 5 -2.11504715982057e-03
9 6 -2.63391618802493e-03
10 5 -7.89346346085461e-03
10 6 -9.82990903658717e-03
11 4 2.63391618802493e-03
11 3 2.11504715982057e-03
12 4 9.82990903658717e-03
12 3 7.89346346085461e-03
13 4 -1.41680666330174e-03
13 3 3.96497752719588e-03
14 4 3.79632201262734e-04
14 3 -1.06241252641969e-03
15 13 2.52008735971799e-04
15 14 -3.03246468731013e-04
15 12 -7.32452724501169e-04
15 11 1.50362526441362e-01
16 13 -9.40509406597965e-04
16 14 1.13173122851999e-03
16 12 1.57946521571835e-01
16 11 -7.32452724501169e-04
17 14 1.66666666844772e-01
17 4 1.82602576395789e-03
17 3 -3.94322506031070e-04
18 13 1.66666666844772e-01
18 4 -6.81482092702062e-03
18 3 1.47163162707584e-03
19 13 -6.25625048104219e-03
19 14 1.03909432617513e-03
19 4 1.69727295122939e-01
19 3 2.32222616497236e-04
20 13 1.67635726404208e-03
20 14 -2.78424485558387e-04
20 4 2.32222616497236e-04
20 3 1.71485163816607e-01
21 13 -2.06214605570823e-03
21 14 -1.12912835910980e-03
22 13 -7.69603385253089e-03
22 14 -4.21396440446464e-03
23 4 9.82990903658717e-03
23 3 7.89346346085461e-03
24 4 2.63391618802493e-03
24 3 2.11504715982057e-03
25 19 6.25625048104219e-03
25 20 -1.03909432617513e-03
25 13 1.66666666844772e-01
26 19 -1.67635726404208e-03
26 20 2.78424485558387e-04
26 14 1.66666666844772e-01
27 16 3.90101130884082e-04
27 15 1.66515955533892e-01
27 13 9.40509406597965e-04
27 14 -1.13173122851999e-03
28 16 1.73396507839362e-01
28 15 3.90101130884085e-04
28 13 -2.52008735971799e-04
28 14 3.03246468731013e-04
29 19 -2.52008735971799e-04
29 20 3.03246468731012e-04
29 18 1.66666666844772e-01
30 19 9.40509406597965e-04
30 20 -1.13173122851999e-03
30 17 1.66666666844772e-01
31 19 -1.45616509203118e-04
31 20 1.63097149021929e-01
31 13 -1.67635726404208e-03
31 14 2.78424485558387e-04
32 19 1.66641251985401e-01
32 20 -1.45616509203132e-04
32 13 6.25625048104219e-03
32 14 -1.03909432617513e-03
33 13 -7.69603385253089e-03
33 14 -4.21396440446464e-03
34 13 -2.06214605570823e-03
34 14 -1.12912835910980e-03
35 19 7.69603385253089e-03
35 20 4.21396440446464e-03
36 19 2.06214605570823e-03
