"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1411,1,0,3.5,0,0
1.1941,1,0.003,3.5,0.003,0
1.247,1,0.006,3.5,0.006,0
1.3,1,0.009,3.5,0.009,0
1.3529,1,0.012,3.5,0.012,0
1.4058,1,0.015,3.5,0.015,0
1.4588,1,0.018,3.5,0.018,0
1.5117,1,0.021,3.5,0.021,0
1.5647,1,0.024,3.5,0.024,0
1.6176,1,0.027,3.5,0.027,0
1.6705,1,0.03,3.5,0.03,0
1.7235,1,0.033,3.5,0.033,0
1.7764,1,0.036,3.5,0.036,0
1.8293,1,0.039,3.5,0.039,0
1.8823,1,0.042,3.5,0.042,0
1.9352,1,0.045,3.5,0.045,0
1.9881,1,0.048,3.5,0.048,0
2.0411,1,0.051,3.5,0.051,0
2.094,1,0.054,3.5,0.054,0
2.1469,1,0.057,3.5,0.057,0
2.1998,1,0.06,3.5,0.06,0
2.2528,1,0.063,3.5,0.063,0
2.3057,1,0.066,3.5,0.066,0
2.3586,1,0.069,3.5,0.069,0
2.4116,1,0.072,3.5,0.072,0
2.4645,1,0.075,3.5,0.075,0
2.5174,1,0.078,3.5,0.078,0
2.5703,1,0.081,3.5,0.081,0
2.6233,1,0.084,3.5,0.084,0
2.6762,1,0.087,3.5,0.087,0
2.7291,1,0.09,3.5,0.09,0
2.782,1,0.093,3.5,0.093,0
2.8349,1,0.096,3.5,0.096,0
2.8879,1,0.099,3.5,0.099,0
2.9408,1,0.102,3.5,0.102,0
2.9937,1,0.105,3.5,0.105,0
3.0466,1,0.108,3.5,0.108,0
3.0995,1,0.111,3.5,0.111,0
3.1524,1,0.114,3.5,0.114,0
3.2054,1,0.117,3.5,0.117,0
3.2583,1,0.12,3.5,0.12,0
3.3112,1,0.123,3.5,0.123,0
3.3641,1,0.126,3.5,0.126,0
3.417,1,0.129,3.5,0.129,0
3.4699,1,0.132,3.5,0.132,0
3.5228,1,0.135,3.5,0.135,0
3.5757,1,0.138,3.5,0.138,0
3.6286,1,0.141,3.5,0.141,0
3.6816,1,0.144,3.5,0.144,0
3.7345,1,0.147,3.5,0.147,0
3.7874,1,0.15,3.5,0.15,0
3.8403,1,0.153,3.5,0.153,0
3.8932,1,0.156,3.5,0.156,0
3.9461,1,0.159,3.5,0.159,0
3.999,1,0.162,3.5,0.162,0
4.0519,1,0.165,3.5,0.165,0
4.1048,1,0.168,3.5,0.168,0
4.1577,1,0.171,3.5,0.171,0
4.2106,1,0.174,3.5,0.174,0
4.2635,1,0.177,3.5,0.177,0
4.3164,1,0.18,3.5,0.18,0
4.3757,1,0.183,3.5,0.183,0
4.4116,1,0.186,3.5,0.186,0
4.4474,1,0.189,3.5,0.189,0
4.4833,1,0.192,3.5,0.192,0
4.5191,1,0.195,3.5,0.195,0
4.555,1,0.198,3.5,0.198,0
4.5908,1,0.201,3.5,0.201,0
4.6267,1,0.204,3.5,0.204,0
4.6625,1,0.207,3.5,0.207,0
4.6984,1,0.21,3.5,0.21,0
4.7342,1,0.213,3.5,0.213,0
4.7701,1,0.216,3.5,0.216,0
4.806,1,0.219,3.5,0.219,0
4.8418,1,0.222,3.5,0.222,0
4.8777,1,0.225,3.5,0.225,0
4.9136,1,0.228,3.5,0.228,0
4.9494,1,0.231,3.5,0.231,0
4.9853,1,0.234,3.5,0.234,0
5.0212,1,0.237,3.5,0.237,0
5.0571,1,0.24,3.5,0.24,0
5.0929,1,0.243,3.5,0.243,0
5.1288,1,0.246,3.5,0.246,0
5.1647,1,0.249,3.5,0.249,0
5.2006,1,0.252,3.5,0.252,0
5.2365,1,0.255,3.5,0.255,0
5.2723,1,0.258,3.5,0.258,0
5.3082,1,0.261,3.5,0.261,0
5.3441,1,0.264,3.5,0.264,0
5.38,1,0.267,3.5,0.267,0
5.4159,1,0.27,3.5,0.27,0
5.4518,1,0.273,3.5,0.273,0
5.4877,1,0.276,3.5,0.276,0
5.5236,1,0.279,3.5,0.279,0
5.5595,1,0.282,3.5,0.282,0
5.5953,1,0.285,3.5,0.285,0
5.6312,1,0.288,3.5,0.288,0
5.6671,1,0.291,3.5,0.291,0
5.703,1,0.294,3.5,0.294,0
5.7389,1,0.297,3.5,0.297,0
5.7748,1,0.3,3.5,0.3,0
5.8107,1,0.303,3.5,0.303,0
5.8466,1,0.306,3.5,0.306,0
5.8825,1,0.309,3.5,0.309,0
5.9184,1,0.312,3.5,0.312,0
5.9543,1,0.315,3.5,0.315,0
5.9902,1,0.318,3.5,0.318,0
6.0261,1,0.321,3.5,0.321,0
6.062,1,0.324,3.5,0.324,0
6.0979,1,0.327,3.5,0.327,0
6.1339,1,0.33,3.5,0.33,0
6.1698,1,0.333,3.5,0.333,0
6.2057,1,0.336,3.5,0.336,0
6.2416,1,0.339,3.5,0.339,0
6.2775,1,0.342,3.5,0.342,0
6.3134,1,0.345,3.5,0.345,0
6.3513,1,0.348,3.5,0.348,0
6.3764,1,0.351,3.5,0.351,0
6.4015,1,0.354,3.5,0.354,0
6.4266,1,0.357,3.5,0.357,0
6.4518,1,0.36,3.5,0.36,0
6.4769,1,0.363,3.5,0.363,0
6.5021,1,0.366,3.5,0.366,0
6.5273,1,0.369,3.5,0.369,0
6.5525,1,0.372,3.5,0.372,0
6.5778,1,0.375,3.5,0.375,0
6.603,1,0.378,3.5,0.378,0
6.6283,1,0.381,3.5,0.381,0
6.6536,1,0.384,3.5,0.384,0
6.6789,1,0.387,3.5,0.387,0
6.7042,1,0.39,3.5,0.39,0
6.7296,1,0.393,3.5,0.393,0
6.755,1,0.396,3.5,0.396,0
6.7804,1,0.399,3.5,0.399,0
6.8058,1,0.402,3.5,0.402,0
6.8312,1,0.405,3.5,0.405,0
6.8567,1,0.408,3.5,0.408,0
6.8822,1,0.411,3.5,0.411,0
6.9077,1,0.414,3.5,0.414,0
6.9332,1,0.417,3.5,0.417,0
6.9588,1,0.42,3.5,0.42,0
6.9844,1,0.423,3.5,0.423,0
7.01,1,0.426,3.5,0.426,0
7.0357,1,0.429,3.5,0.429,0
7.0614,1,0.432,3.5,0.432,0
7.0871,1,0.435,3.5,0.435,0
7.1129,1,0.438,3.5,0.438,0
7.1387,1,0.441,3.5,0.441,0
7.1645,1,0.444,3.5,0.444,0
7.1903,1,0.447,3.5,0.447,0
7.2162,1,0.45,3.5,0.45,0
7.2421,1,0.453,3.5,0.453,0
7.2681,1,0.456,3.5,0.456,0
7.2941,1,0.459,3.5,0.459,0
7.3202,1,0.462,3.5,0.462,0
7.3462,1,0.465,3.5,0.465,0
7.3724,1,0.468,3.5,0.468,0
7.3985,1,0.471,3.5,0.471,0
7.4248,1,0.474,3.5,0.474,0
7.451,1,0.477,3.5,0.477,0
7.4773,1,0.48,3.5,0.48,0
7.5037,1,0.483,3.5,0.483,0
7.5301,1,0.486,3.5,0.486,0
nan,0,0.489,3.5,0.489,0
nan,0,0.492,3.5,0.492,0
7.6111,1,0.495,3.5,0.495,0
7.6376,1,0.498,3.5,0.498,0
7.6641,1,0.501,3.5,0.501,0
7.6905,1,0.504,3.5,0.504,0
7.7169,1,0.507,3.5,0.507,0
7.7433,1,0.51,3.5,0.51,0
