"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31554446,0.0043847002,0.0043847002,0.4008446,0.0034022352,1,1,0,3.5,0,0
0.31584492,0.0043106826,0.0043106826,0.39970469,0.058852119,1,1,0.003,3.5,0.003,0
0.31614512,0.0042367296,0.0042367296,0.39856578,0.11430114,1,1,0.0060000001,3.5,0.0060000001,0
0.31644505,0.0041628411,0.0041628411,0.39742788,0.16974929,1,1,0.0089999996,3.5,0.0089999996,0
0.31674473,0.004089017,0.004089017,0.39629097,0.2251966,1,1,0.012,3.5,0.012,0
0.31704414,0.0040152572,0.0040152572,0.39515507,0.28064304,1,1,0.015,3.5,0.015,0
0.31734329,0.0039415616,0.0039415616,0.39402015,0.33608861,1,1,0.017999999,3.5,0.017999999,0
0.31764218,0.0038679301,0.0038679301,0.39288624,0.39153335,1,1,0.021,3.5,0.021,0
0.31794081,0.0037943627,0.0037943627,0.39175331,0.44697723,1,1,0.024,3.5,0.024,0
0.31823918,0.0037208591,0.0037208591,0.39062138,0.50242026,1,1,0.027000001,3.5,0.027000001,0
0.31853729,0.0036474195,0.0036474195,0.38949044,0.5578624,1,1,0.029999999,3.5,0.029999999,0
0.31883514,0.0035740436,0.0035740436,0.38836049,0.61330373,1,1,0.033,3.5,0.033,0
0.31913273,0.0035007314,0.0035007314,0.38723152,0.66874417,1,1,0.035999998,3.5,0.035999998,0
0.31943007,0.0034274826,0.0034274826,0.38610354,0.72418383,1,1,0.039000001,3.5,0.039000001,0
0.31972714,0.0033542974,0.0033542974,0.38497655,0.77962258,1,1,0.041999999,3.5,0.041999999,0
0.32002396,0.0032811756,0.0032811756,0.38385054,0.83506054,1,1,0.045000002,3.5,0.045000002,0
0.32032052,0.0032081171,0.0032081171,0.38272551,0.8904976,1,1,0.048,3.5,0.048,0
0.32061683,0.0031351218,0.0031351218,0.38160146,0.9459338,1,1,0.050999999,3.5,0.050999999,0
0.32091287,0.0030621896,0.0030621896,0.38047839,1.0013692,1,1,0.054000001,3.5,0.054000001,0
0.32120867,0.0029893205,0.0029893205,0.3793563,1.0568038,1,1,0.057,3.5,0.057,0
0.3215042,0.0029165143,0.0029165143,0.37823519,1.1122374,1,1,0.059999999,3.5,0.059999999,0
0.32179948,0.0028437708,0.0028437708,0.37711505,1.1676704,1,1,0.063000001,3.5,0.063000001,0
0.32209451,0.0027710903,0.0027710903,0.37599588,1.2231024,1,1,0.066,3.5,0.066,0
0.32238928,0.0026984724,0.0026984724,0.37487769,1.2785335,1,1,0.068999998,3.5,0.068999998,0
0.32268379,0.0026259171,0.0026259171,0.37376047,1.3339639,1,1,0.071999997,3.5,0.071999997,0
