"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31994438,0.00014701078,0.00014701078,0.36008049,1.1780275,1,1,0,3.5,0,0
0.32017516,0.00014646705,0.00014646705,0.35961811,1.2303853,1,1,0.003,3.5,0.003,0
0.32040592,0.000145924,0.000145924,0.35915576,1.2827424,1,1,0.0060000001,3.5,0.0060000001,0
0.32063667,0.00014538161,0.00014538161,0.35869343,1.3350988,1,1,0.0089999996,3.5,0.0089999996,0
0.32086741,0.00014483989,0.00014483989,0.35823113,1.3874545,1,1,0.012,3.5,0.012,0
0.32109814,0.00014429884,0.00014429884,0.35776886,1.4398093,1,1,0.015,3.5,0.015,0
0.32132885,0.00014375845,0.00014375845,0.35730661,1.4921635,1,1,0.017999999,3.5,0.017999999,0
0.32155955,0.00014321873,0.00014321873,0.35684439,1.5445169,1,1,0.021,3.5,0.021,0
0.32179024,0.00014267968,0.00014267968,0.3563822,1.5968696,1,1,0.024,3.5,0.024,0
0.32202091,0.00014214129,0.00014214129,0.35592003,1.6492216,1,1,0.027000001,3.5,0.027000001,0
0.32225157,0.00014160356,0.00014160356,0.35545789,1.7015728,1,1,0.029999999,3.5,0.029999999,0
0.32248221,0.00014106649,0.00014106649,0.35499577,1.7539233,1,1,0.033,3.5,0.033,0
0.32271285,0.00014053008,0.00014053008,0.35453368,1.8062731,1,1,0.035999998,3.5,0.035999998,0
0.32294347,0.00013999433,0.00013999433,0.35407162,1.8586222,1,1,0.039000001,3.5,0.039000001,0
0.32317408,0.00013945924,0.00013945924,0.35360958,1.9109704,1,1,0.041999999,3.5,0.041999999,0
0.32340467,0.00013892481,0.00013892481,0.35314757,1.9633181,1,1,0.045000002,3.5,0.045000002,0
0.32363525,0.00013839103,0.00013839103,0.35268558,2.0156649,1,1,0.048,3.5,0.048,0
0.32386582,0.00013785791,0.00013785791,0.35222362,2.068011,1,1,0.050999999,3.5,0.050999999,0
0.32409638,0.00013732545,0.00013732545,0.35176169,2.1203565,1,1,0.054000001,3.5,0.054000001,0
0.32432692,0.00013679363,0.00013679363,0.35129978,2.1727012,1,1,0.057,3.5,0.057,0
0.32455745,0.00013626248,0.00013626248,0.3508379,2.2250451,1,1,0.059999999,3.5,0.059999999,0
0.32478797,0.00013573197,0.00013573197,0.35037604,2.2773884,1,1,0.063000001,3.5,0.063000001,0
0.32501847,0.00013520211,0.00013520211,0.34991421,2.3297309,1,1,0.066,3.5,0.066,0
0.32524896,0.00013467291,0.00013467291,0.34945241,2.3820727,1,1,0.068999998,3.5,0.068999998,0
0.32547944,0.00013414435,0.00013414435,0.34899063,2.4344138,1,1,0.071999997,3.5,0.071999997,0
0.3257099,0.00013361644,0.00013361644,0.34852887,2.4867543,1,1,0.075000003,3.5,0.075000003,0
0.32594036,0.00013308918,0.00013308918,0.34806714,2.5390939,1,1,0.078000002,3.5,0.078000002,0
0.3261708,0.00013256257,0.00013256257,0.34760544,2.5914329,1,1,0.081,3.5,0.081,0
0.32640122,0.0001320366,0.0001320366,0.34714376,2.6437711,1,1,0.083999999,3.5,0.083999999,0
0.32663164,0.00013151128,0.00013151128,0.34668211,2.6961086,1,1,0.086999997,3.5,0.086999997,0
0.32686204,0.0001309866,0.0001309866,0.34622049,2.7484455,1,1,0.090000004,3.5,0.090000004,0
0.32709243,0.00013046256,0.00013046256,0.34575888,2.8007816,1,1,0.093000002,3.5,0.093000002,0
0.3273228,0.00012993917,0.00012993917,0.34529731,2.853117,1,1,0.096000001,3.5,0.096000001,0
0.32755317,0.00012941641,0.00012941641,0.34483576,2.9054516,1,1,0.098999999,3.5,0.098999999,0
0.32778352,0.0001288943,0.0001288943,0.34437423,2.9577856,1,1,0.102,3.5,0.102,0
0.32801386,0.00012837283,0.00012837283,0.34391273,3.0101189,1,1,0.105,3.5,0.105,0
0.32824418,0.00012785199,0.00012785199,0.34345126,3.0624516,1,1,0.108,3.5,0.108,0
0.3284745,0.00012733179,0.00012733179,0.34298981,3.1147834,1,1,0.111,3.5,0.111,0
0.3287048,0.00012681223,0.00012681223,0.34252838,3.1671145,1,1,0.114,3.5,0.114,0
0.32893508,0.0001262933,0.0001262933,0.34206699,3.219445,1,1,0.117,3.5,0.117,0
