"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33230186,3.2598404e-05,3.2598404e-05,0.33556052,0.1280698,1,1,0,3.5,0,0
0.33231688,3.2153301e-05,3.2153301e-05,0.33552893,0.18286027,1,1,0.003,3.5,0.003,0
0.3323319,3.1709031e-05,3.1709031e-05,0.33549735,0.23764994,1,1,0.0060000001,3.5,0.0060000001,0
0.33234691,3.1265594e-05,3.1265594e-05,0.33546578,0.2924388,1,1,0.0089999996,3.5,0.0089999996,0
0.33236193,3.0822989e-05,3.0822989e-05,0.33543422,0.34722688,1,1,0.012,3.5,0.012,0
0.33237693,3.0381214e-05,3.0381214e-05,0.33540267,0.40201414,1,1,0.015,3.5,0.015,0
0.33239194,2.9940269e-05,2.9940269e-05,0.33537112,0.45680061,1,1,0.017999999,3.5,0.017999999,0
0.33240694,2.9500151e-05,2.9500151e-05,0.33533959,0.5115863,1,1,0.021,3.5,0.021,0
0.33242194,2.906086e-05,2.906086e-05,0.33530807,0.5663712,1,1,0.024,3.5,0.024,0
0.33243693,2.8622394e-05,2.8622394e-05,0.33527656,0.6211553,1,1,0.027000001,3.5,0.027000001,0
0.33245192,2.8184753e-05,2.8184753e-05,0.33524506,0.67593858,1,1,0.029999999,3.5,0.029999999,0
0.33246691,2.7747936e-05,2.7747936e-05,0.33521356,0.73072111,1,1,0.033,3.5,0.033,0
0.3324819,2.731194e-05,2.731194e-05,0.33518208,0.78550281,1,1,0.035999998,3.5,0.035999998,0
0.33249688,2.6876765e-05,2.6876765e-05,0.33515061,0.84028379,1,1,0.039000001,3.5,0.039000001,0
0.33251186,2.6442411e-05,2.6442411e-05,0.33511914,0.89506392,1,1,0.041999999,3.5,0.041999999,0
0.33252683,2.6008874e-05,2.6008874e-05,0.33508769,0.94984333,1,1,0.045000002,3.5,0.045000002,0
0.33254181,2.5576155e-05,2.5576155e-05,0.33505624,1.0046219,1,1,0.048,3.5,0.048,0
0.33255677,2.5144252e-05,2.5144252e-05,0.3350248,1.0593997,1,1,0.050999999,3.5,0.050999999,0
0.33257174,2.4713164e-05,2.4713164e-05,0.33499338,1.1141767,1,1,0.054000001,3.5,0.054000001,0
0.3325867,2.4282891e-05,2.4282891e-05,0.33496196,1.1689529,1,1,0.057,3.5,0.057,0
0.33260166,2.385343e-05,2.385343e-05,0.33493055,1.2237284,1,1,0.059999999,3.5,0.059999999,0
0.33261662,2.342478e-05,2.342478e-05,0.33489916,1.2785031,1,1,0.063000001,3.5,0.063000001,0
0.33263157,2.2996941e-05,2.2996941e-05,0.33486777,1.333277,1,1,0.066,3.5,0.066,0
0.33264652,2.2569912e-05,2.2569912e-05,0.33483639,1.3880501,1,1,0.068999998,3.5,0.068999998,0
