"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33330775,-9.7660998e-09,-9.7660998e-09,0.3333458,0.0020355513,1,1,0,0,0.5,0
0.33330796,-9.6880846e-09,-9.6880846e-09,0.3333457,0.011271177,1,1,0.001,0.001,0.5,0
0.33330817,-9.6100693e-09,-9.6100693e-09,0.33334559,0.020506802,1,1,0.0020000001,0.0020000001,0.5,0
0.33330838,-9.532054e-09,-9.532054e-09,0.33334549,0.029742427,1,1,0.003,0.003,0.5,0
0.33330858,-9.4540387e-09,-9.4540387e-09,0.33334539,0.038978054,1,1,0.0040000002,0.0040000002,0.5,0
0.33330879,-9.3760235e-09,-9.3760235e-09,0.33334529,0.048213676,1,1,0.0049999999,0.0049999999,0.5,0
0.333309,-9.2980082e-09,-9.2980082e-09,0.33334519,0.057449303,1,1,0.0060000001,0.0060000001,0.5,0
0.33330921,-9.2199929e-09,-9.2199929e-09,0.33334509,0.066684929,1,1,0.0070000002,0.0070000002,0.5,0
0.33330942,-9.1419776e-09,-9.1419776e-09,0.33334498,0.075920556,1,1,0.0080000004,0.0080000004,0.5,0
0.33330963,-9.0639624e-09,-9.0639624e-09,0.33334488,0.085156174,1,1,0.0089999996,0.0089999996,0.5,0
0.33330984,-8.9859471e-09,-8.9859471e-09,0.33334478,0.094391801,1,1,0.0099999998,0.0099999998,0.5,0
0.33331004,-8.9079318e-09,-8.9079318e-09,0.33334468,0.10362743,1,1,0.011,0.011,0.5,0
0.33331025,-8.8299165e-09,-8.8299165e-09,0.33334458,0.11286305,1,1,0.012,0.012,0.5,0
0.33331046,-8.7519013e-09,-8.7519013e-09,0.33334447,0.12209868,1,1,0.013,0.013,0.5,0
0.33331067,-8.673886e-09,-8.673886e-09,0.33334437,0.13133431,1,1,0.014,0.014,0.5,0
0.33331088,-8.5958708e-09,-8.5958708e-09,0.33334427,0.14056993,1,1,0.015,0.015,0.5,0
0.33331109,-8.5178554e-09,-8.5178554e-09,0.33334417,0.14980556,1,1,0.016000001,0.016000001,0.5,0
0.3333113,-8.4398401e-09,-8.4398401e-09,0.33334407,0.15904119,1,1,0.017000001,0.017000001,0.5,0
0.3333115,-8.361825e-09,-8.361825e-09,0.33334396,0.1682768,1,1,0.017999999,0.017999999,0.5,0
0.33331171,-8.2838097e-09,-8.2838097e-09,0.33334386,0.17751242,1,1,0.018999999,0.018999999,0.5,0
0.33331192,-8.2057944e-09,-8.2057944e-09,0.33334376,0.18674805,1,1,0.02,0.02,0.5,0
0.33331213,-8.1277791e-09,-8.1277791e-09,0.33334366,0.19598368,1,1,0.021,0.021,0.5,0
0.33331234,-8.0497638e-09,-8.0497638e-09,0.33334356,0.2052193,1,1,0.022,0.022,0.5,0
0.33331255,-7.9717485e-09,-7.9717485e-09,0.33334345,0.21445493,1,1,0.023,0.023,0.5,0
0.33331276,-7.8937332e-09,-7.8937332e-09,0.33334335,0.22369056,1,1,0.024,0.024,0.5,0
0.33331296,-7.815718e-09,-7.815718e-09,0.33334325,0.23292618,1,1,0.025,0.025,0.5,0
0.33331317,-7.7377027e-09,-7.7377027e-09,0.33334315,0.24216181,1,1,0.026000001,0.026000001,0.5,0
0.33331338,-7.6596874e-09,-7.6596874e-09,0.33334305,0.25139744,1,1,0.027000001,0.027000001,0.5,0
0.33331359,-7.5816721e-09,-7.5816721e-09,0.33334294,0.26063306,1,1,0.028000001,0.028000001,0.5,0
0.3333138,-7.503657e-09,-7.503657e-09,0.33334284,0.26986867,1,1,0.028999999,0.028999999,0.5,0
0.33331401,-7.4256417e-09,-7.4256417e-09,0.33334274,0.2791043,1,1,0.029999999,0.029999999,0.5,0
0.33331422,-7.3476264e-09,-7.3476264e-09,0.33334264,0.28833993,1,1,0.030999999,0.030999999,0.5,0
0.33331442,-7.269611e-09,-7.269611e-09,0.33334254,0.29757557,1,1,0.032000002,0.032000002,0.5,0
0.33331463,-7.1915958e-09,-7.1915958e-09,0.33334243,0.30681118,1,1,0.033,0.033,0.5,0
0.33331484,-7.1135804e-09,-7.1135804e-09,0.33334233,0.31604682,1,1,0.034000002,0.034000002,0.5,0
0.33331505,-7.0355652e-09,-7.0355652e-09,0.33334223,0.32528243,1,1,0.035,0.035,0.5,0
0.33331526,-6.9575501e-09,-6.9575501e-09,0.33334213,0.33451804,1,1,0.035999998,0.035999998,0.5,0
0.33331547,-6.8795347e-09,-6.8795347e-09,0.33334203,0.34375369,1,1,0.037,0.037,0.5,0
