"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.33333238,-1.0437925e-11,-1.0437885e-11,0.33333378,0.0020347085,1,1,0,0,0.5,0
0.33333239,-1.0366567e-11,-1.0366528e-11,0.33333377,0.011270329,1,1,0.001,0.001,0.5,0
0.3333324,-1.0295209e-11,-1.029517e-11,0.33333377,0.02050595,1,1,0.0020000001,0.0020000001,0.5,0
0.33333241,-1.0223851e-11,-1.0223812e-11,0.33333376,0.02974157,1,1,0.003,0.003,0.5,0
0.33333242,-1.0152493e-11,-1.0152455e-11,0.33333376,0.038977192,1,1,0.0040000002,0.0040000002,0.5,0
0.33333243,-1.0081135e-11,-1.0081097e-11,0.33333375,0.04821281,1,1,0.0049999999,0.0049999999,0.5,0
0.33333244,-1.0009778e-11,-1.000974e-11,0.33333375,0.057448432,1,1,0.0060000001,0.0060000001,0.5,0
0.33333245,-9.9384197e-12,-9.9383822e-12,0.33333374,0.066684054,1,1,0.0070000002,0.0070000002,0.5,0
0.33333247,-9.8670619e-12,-9.8670246e-12,0.33333373,0.075919676,1,1,0.0080000004,0.0080000004,0.5,0
0.33333248,-9.7957041e-12,-9.7956671e-12,0.33333373,0.08515529,1,1,0.0089999996,0.0089999996,0.5,0
0.33333249,-9.7243463e-12,-9.7243095e-12,0.33333372,0.094390912,1,1,0.0099999998,0.0099999998,0.5,0
0.3333325,-9.6529884e-12,-9.6529519e-12,0.33333372,0.10362653,1,1,0.011,0.011,0.5,0
0.33333251,-9.5816306e-12,-9.5815943e-12,0.33333371,0.11286216,1,1,0.012,0.012,0.5,0
0.33333252,-9.5102727e-12,-9.5102367e-12,0.33333371,0.12209778,1,1,0.013,0.013,0.5,0
0.33333253,-9.4389149e-12,-9.4388792e-12,0.3333337,0.1313334,1,1,0.014,0.014,0.5,0
0.33333254,-9.3675571e-12,-9.3675216e-12,0.3333337,0.14056901,1,1,0.015,0.015,0.5,0
0.33333256,-9.2961992e-12,-9.296164e-12,0.33333369,0.14980464,1,1,0.016000001,0.016000001,0.5,0
0.33333257,-9.2248414e-12,-9.2248064e-12,0.33333368,0.15904027,1,1,0.017000001,0.017000001,0.5,0
0.33333258,-9.1534837e-12,-9.1534489e-12,0.33333368,0.16827587,1,1,0.017999999,0.017999999,0.5,0
0.33333259,-9.0821258e-12,-9.0820914e-12,0.33333367,0.17751149,1,1,0.018999999,0.018999999,0.5,0
0.3333326,-9.010768e-12,-9.0107338e-12,0.33333367,0.18674712,1,1,0.02,0.02,0.5,0
0.33333261,-8.9394101e-12,-8.9393762e-12,0.33333366,0.19598274,1,1,0.021,0.021,0.5,0
0.33333262,-8.8680523e-12,-8.8680186e-12,0.33333366,0.20521836,1,1,0.022,0.022,0.5,0
0.33333263,-8.7966945e-12,-8.796661e-12,0.33333365,0.21445398,1,1,0.023,0.023,0.5,0
0.33333265,-8.7253366e-12,-8.7253034e-12,0.33333364,0.2236896,1,1,0.024,0.024,0.5,0
0.33333266,-8.6539788e-12,-8.6539458e-12,0.33333364,0.23292523,1,1,0.025,0.025,0.5,0
0.33333267,-8.5826209e-12,-8.5825883e-12,0.33333363,0.24216085,1,1,0.026000001,0.026000001,0.5,0
0.33333268,-8.5112631e-12,-8.5112307e-12,0.33333363,0.25139647,1,1,0.027000001,0.027000001,0.5,0
0.33333269,-8.4399053e-12,-8.4398731e-12,0.33333362,0.26063209,1,1,0.028000001,0.028000001,0.5,0
0.3333327,-8.3685475e-12,-8.3685156e-12,0.33333362,0.2698677,1,1,0.028999999,0.028999999,0.5,0
0.33333271,-8.2971897e-12,-8.297158e-12,0.33333361,0.27910332,1,1,0.029999999,0.029999999,0.5,0
0.33333272,-8.2258319e-12,-8.2258005e-12,0.3333336,0.28833894,1,1,0.030999999,0.030999999,0.5,0
0.33333274,-8.1544739e-12,-8.1544427e-12,0.3333336,0.29757458,1,1,0.032000002,0.032000002,0.5,0
0.33333275,-8.0831162e-12,-8.0830853e-12,0.33333359,0.30681019,1,1,0.033,0.033,0.5,0
0.33333276,-8.0117582e-12,-8.0117276e-12,0.33333359,0.31604582,1,1,0.034000002,0.034000002,0.5,0
0.33333277,-7.9404005e-12,-7.9403701e-12,0.33333358,0.32528143,1,1,0.035,0.035,0.5,0
