"E00","E01","E10","E11","phi","attribute","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.36058556,1.6452355e-05,1.6452355e-05,0.31634074,0.63273073,1,1,0,0,0.5,0
0.36032789,1.6378139e-05,1.6378139e-05,0.31647275,0.64207975,1,1,0.001,0.001,0.5,0
0.36007022,1.6303924e-05,1.6303924e-05,0.31660476,0.65142877,1,1,0.0020000001,0.0020000001,0.5,0
0.35981255,1.6229708e-05,1.6229708e-05,0.31673677,0.66077779,1,1,0.003,0.003,0.5,0
0.35955488,1.6155493e-05,1.6155493e-05,0.31686878,0.67012681,1,1,0.0040000002,0.0040000002,0.5,0
0.35929721,1.6081277e-05,1.6081277e-05,0.31700079,0.67947583,1,1,0.0049999999,0.0049999999,0.5,0
0.35903954,1.6007061e-05,1.6007061e-05,0.31713281,0.68882485,1,1,0.0060000001,0.0060000001,0.5,0
0.35878187,1.5932846e-05,1.5932846e-05,0.31726482,0.69817388,1,1,0.0070000002,0.0070000002,0.5,0
0.3585242,1.585863e-05,1.585863e-05,0.31739683,0.7075229,1,1,0.0080000004,0.0080000004,0.5,0
0.35826653,1.5784415e-05,1.5784415e-05,0.31752884,0.71687191,1,1,0.0089999996,0.0089999996,0.5,0
0.35800886,1.5710199e-05,1.5710199e-05,0.31766085,0.72622093,1,1,0.0099999998,0.0099999998,0.5,0
0.35775119,1.5635984e-05,1.5635984e-05,0.31779286,0.73556996,1,1,0.011,0.011,0.5,0
0.35749352,1.5561768e-05,1.5561768e-05,0.31792488,0.74491898,1,1,0.012,0.012,0.5,0
0.35723585,1.5487553e-05,1.5487553e-05,0.31805689,0.754268,1,1,0.013,0.013,0.5,0
0.35697818,1.5413337e-05,1.5413337e-05,0.3181889,0.76361703,1,1,0.014,0.014,0.5,0
0.35672051,1.5339121e-05,1.5339121e-05,0.31832091,0.77296604,1,1,0.015,0.015,0.5,0
0.35646284,1.5264906e-05,1.5264906e-05,0.31845292,0.78231507,1,1,0.016000001,0.016000001,0.5,0
