"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1465,1,0,3.5,0,0
1.1993,1,0.003,3.5,0.003,0
1.2521,1,0.006,3.5,0.006,0
1.3049,1,0.009,3.5,0.009,0
1.3577,1,0.012,3.5,0.012,0
1.4105,1,0.015,3.5,0.015,0
1.4634,1,0.018,3.5,0.018,0
1.5162,1,0.021,3.5,0.021,0
1.569,1,0.024,3.5,0.024,0
1.6218,1,0.027,3.5,0.027,0
1.6746,1,0.03,3.5,0.03,0
1.7274,1,0.033,3.5,0.033,0
1.7802,1,0.036,3.5,0.036,0
1.833,1,0.039,3.5,0.039,0
1.8859,1,0.042,3.5,0.042,0
1.9387,1,0.045,3.5,0.045,0
1.9915,1,0.048,3.5,0.048,0
2.0443,1,0.051,3.5,0.051,0
2.0971,1,0.054,3.5,0.054,0
2.1499,1,0.057,3.5,0.057,0
2.2027,1,0.06,3.5,0.06,0
2.2555,1,0.063,3.5,0.063,0
2.3083,1,0.066,3.5,0.066,0
2.3611,1,0.069,3.5,0.069,0
2.4139,1,0.072,3.5,0.072,0
2.4667,1,0.075,3.5,0.075,0
2.5195,1,0.078,3.5,0.078,0
2.5723,1,0.081,3.5,0.081,0
2.6252,1,0.084,3.5,0.084,0
2.678,1,0.087,3.5,0.087,0
2.7308,1,0.09,3.5,0.09,0
2.7836,1,0.093,3.5,0.093,0
2.8364,1,0.096,3.5,0.096,0
2.8892,1,0.099,3.5,0.099,0
2.942,1,0.102,3.5,0.102,0
2.9948,1,0.105,3.5,0.105,0
3.0476,1,0.108,3.5,0.108,0
3.1004,1,0.111,3.5,0.111,0
3.1532,1,0.114,3.5,0.114,0
3.206,1,0.117,3.5,0.117,0
3.2588,1,0.12,3.5,0.12,0
3.3116,1,0.123,3.5,0.123,0
3.3644,1,0.126,3.5,0.126,0
3.4172,1,0.129,3.5,0.129,0
3.47,1,0.132,3.5,0.132,0
3.5227,1,0.135,3.5,0.135,0
3.5755,1,0.138,3.5,0.138,0
3.6283,1,0.141,3.5,0.141,0
3.6811,1,0.144,3.5,0.144,0
3.7339,1,0.147,3.5,0.147,0
3.7867,1,0.15,3.5,0.15,0
3.8395,1,0.153,3.5,0.153,0
3.8923,1,0.156,3.5,0.156,0
3.9451,1,0.159,3.5,0.159,0
3.9979,1,0.162,3.5,0.162,0
4.0507,1,0.165,3.5,0.165,0
4.1035,1,0.168,3.5,0.168,0
4.1563,1,0.171,3.5,0.171,0
4.2091,1,0.174,3.5,0.174,0
4.2619,1,0.177,3.5,0.177,0
4.3146,1,0.18,3.5,0.18,0
4.3638,1,0.183,3.5,0.183,0
4.4005,1,0.186,3.5,0.186,0
4.4372,1,0.189,3.5,0.189,0
4.4739,1,0.192,3.5,0.192,0
4.5106,1,0.195,3.5,0.195,0
4.5472,1,0.198,3.5,0.198,0
4.5838,1,0.201,3.5,0.201,0
4.6204,1,0.204,3.5,0.204,0
4.657,1,0.207,3.5,0.207,0
4.6936,1,0.21,3.5,0.21,0
4.7302,1,0.213,3.5,0.213,0
4.7667,1,0.216,3.5,0.216,0
4.8033,1,0.219,3.5,0.219,0
4.8398,1,0.222,3.5,0.222,0
4.8763,1,0.225,3.5,0.225,0
4.9128,1,0.228,3.5,0.228,0
4.9493,1,0.231,3.5,0.231,0
4.9858,1,0.234,3.5,0.234,0
5.0222,1,0.237,3.5,0.237,0
5.0587,1,0.24,3.5,0.24,0
5.0951,1,0.243,3.5,0.243,0
5.1316,1,0.246,3.5,0.246,0
5.168,1,0.249,3.5,0.249,0
5.2044,1,0.252,3.5,0.252,0
5.2408,1,0.255,3.5,0.255,0
5.2772,1,0.258,3.5,0.258,0
5.3136,1,0.261,3.5,0.261,0
5.35,1,0.264,3.5,0.264,0
5.3864,1,0.267,3.5,0.267,0
5.4227,1,0.27,3.5,0.27,0
5.4591,1,0.273,3.5,0.273,0
5.4954,1,0.276,3.5,0.276,0
5.5318,1,0.279,3.5,0.279,0
5.5681,1,0.282,3.5,0.282,0
5.6044,1,0.285,3.5,0.285,0
5.6407,1,0.288,3.5,0.288,0
5.677,1,0.291,3.5,0.291,0
5.7133,1,0.294,3.5,0.294,0
5.7496,1,0.297,3.5,0.297,0
5.7859,1,0.3,3.5,0.3,0
5.8222,1,0.303,3.5,0.303,0
5.8585,1,0.306,3.5,0.306,0
5.8948,1,0.309,3.5,0.309,0
5.931,1,0.312,3.5,0.312,0
5.9673,1,0.315,3.5,0.315,0
6.0035,1,0.318,3.5,0.318,0
6.0398,1,0.321,3.5,0.321,0
6.076,1,0.324,3.5,0.324,0
6.1123,1,0.327,3.5,0.327,0
6.1485,1,0.33,3.5,0.33,0
6.1847,1,0.333,3.5,0.333,0
6.221,1,0.336,3.5,0.336,0
6.2572,1,0.339,3.5,0.339,0
6.2934,1,0.342,3.5,0.342,0
6.3296,1,0.345,3.5,0.345,0
6.3592,1,0.348,3.5,0.348,0
6.385,1,0.351,3.5,0.351,0
6.4108,1,0.354,3.5,0.354,0
6.4367,1,0.357,3.5,0.357,0
6.4626,1,0.36,3.5,0.36,0
6.4884,1,0.363,3.5,0.363,0
6.5143,1,0.366,3.5,0.366,0
6.5402,1,0.369,3.5,0.369,0
6.5661,1,0.372,3.5,0.372,0
6.592,1,0.375,3.5,0.375,0
6.6179,1,0.378,3.5,0.378,0
6.6439,1,0.381,3.5,0.381,0
6.6698,1,0.384,3.5,0.384,0
6.6958,1,0.387,3.5,0.387,0
6.7217,1,0.39,3.5,0.39,0
6.7477,1,0.393,3.5,0.393,0
6.7737,1,0.396,3.5,0.396,0
6.7997,1,0.399,3.5,0.399,0
6.8257,1,0.402,3.5,0.402,0
6.8517,1,0.405,3.5,0.405,0
6.8777,1,0.408,3.5,0.408,0
6.9038,1,0.411,3.5,0.411,0
6.9298,1,0.414,3.5,0.414,0
6.9559,1,0.417,3.5,0.417,0
6.982,1,0.42,3.5,0.42,0
7.0081,1,0.423,3.5,0.423,0
7.0342,1,0.426,3.5,0.426,0
7.0604,1,0.429,3.5,0.429,0
7.0865,1,0.432,3.5,0.432,0
7.1127,1,0.435,3.5,0.435,0
7.1389,1,0.438,3.5,0.438,0
7.1651,1,0.441,3.5,0.441,0
7.1913,1,0.444,3.5,0.444,0
7.2176,1,0.447,3.5,0.447,0
7.2438,1,0.45,3.5,0.45,0
7.2701,1,0.453,3.5,0.453,0
7.2964,1,0.456,3.5,0.456,0
7.3227,1,0.459,3.5,0.459,0
7.3491,1,0.462,3.5,0.462,0
7.3754,1,0.465,3.5,0.465,0
7.4018,1,0.468,3.5,0.468,0
7.4283,1,0.471,3.5,0.471,0
7.4547,1,0.474,3.5,0.474,0
7.4812,1,0.477,3.5,0.477,0
7.5076,1,0.48,3.5,0.48,0
7.5342,1,0.483,3.5,0.483,0
7.5607,1,0.486,3.5,0.486,0
nan,0,0.489,3.5,0.489,0
nan,0,0.492,3.5,0.492,0
7.6393,1,0.495,3.5,0.495,0
7.6654,1,0.498,3.5,0.498,0
