"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.12314,1,0,3.5,0,0
0.17796,1,0.003,3.5,0.003,0
0.23278,1,0.006,3.5,0.006,0
0.2876,1,0.009,3.5,0.009,0
0.34241,1,0.012,3.5,0.012,0
0.39723,1,0.015,3.5,0.015,0
0.45204,1,0.018,3.5,0.018,0
0.50686,1,0.021,3.5,0.021,0
0.56167,1,0.024,3.5,0.024,0
0.61648,1,0.027,3.5,0.027,0
0.67129,1,0.03,3.5,0.03,0
0.72611,1,0.033,3.5,0.033,0
0.78092,1,0.036,3.5,0.036,0
0.83572,1,0.039,3.5,0.039,0
0.89053,1,0.042,3.5,0.042,0
0.94534,1,0.045,3.5,0.045,0
1.0001,1,0.048,3.5,0.048,0
1.055,1,0.051,3.5,0.051,0
1.1098,1,0.054,3.5,0.054,0
1.1646,1,0.057,3.5,0.057,0
1.2194,1,0.06,3.5,0.06,0
1.2742,1,0.063,3.5,0.063,0
1.329,1,0.066,3.5,0.066,0
1.3838,1,0.069,3.5,0.069,0
1.4386,1,0.072,3.5,0.072,0
1.4934,1,0.075,3.5,0.075,0
1.5482,1,0.078,3.5,0.078,0
1.603,1,0.081,3.5,0.081,0
1.6578,1,0.084,3.5,0.084,0
1.7126,1,0.087,3.5,0.087,0
1.7674,1,0.09,3.5,0.09,0
1.8222,1,0.093,3.5,0.093,0
1.877,1,0.096,3.5,0.096,0
1.9317,1,0.099,3.5,0.099,0
1.9865,1,0.102,3.5,0.102,0
2.0413,1,0.105,3.5,0.105,0
2.0961,1,0.108,3.5,0.108,0
2.1509,1,0.111,3.5,0.111,0
2.2057,1,0.114,3.5,0.114,0
2.2605,1,0.117,3.5,0.117,0
2.3153,1,0.12,3.5,0.12,0
2.3701,1,0.123,3.5,0.123,0
2.4249,1,0.126,3.5,0.126,0
2.4796,1,0.129,3.5,0.129,0
2.5344,1,0.132,3.5,0.132,0
2.5892,1,0.135,3.5,0.135,0
2.644,1,0.138,3.5,0.138,0
2.6988,1,0.141,3.5,0.141,0
2.7536,1,0.144,3.5,0.144,0
2.8083,1,0.147,3.5,0.147,0
2.8631,1,0.15,3.5,0.15,0
2.9179,1,0.153,3.5,0.153,0
2.9727,1,0.156,3.5,0.156,0
3.0275,1,0.159,3.5,0.159,0
3.0822,1,0.162,3.5,0.162,0
3.137,1,0.165,3.5,0.165,0
3.1918,1,0.168,3.5,0.168,0
3.2466,1,0.171,3.5,0.171,0
3.3013,1,0.174,3.5,0.174,0
3.3561,1,0.177,3.5,0.177,0
3.4109,1,0.18,3.5,0.18,0
3.4749,1,0.183,3.5,0.183,0
3.5145,1,0.186,3.5,0.186,0
3.5541,1,0.189,3.5,0.189,0
3.5937,1,0.192,3.5,0.192,0
3.6334,1,0.195,3.5,0.195,0
3.673,1,0.198,3.5,0.198,0
3.7126,1,0.201,3.5,0.201,0
3.7522,1,0.204,3.5,0.204,0
3.7919,1,0.207,3.5,0.207,0
3.8315,1,0.21,3.5,0.21,0
3.8711,1,0.213,3.5,0.213,0
3.9108,1,0.216,3.5,0.216,0
3.9504,1,0.219,3.5,0.219,0
3.9901,1,0.222,3.5,0.222,0
4.0297,1,0.225,3.5,0.225,0
4.0694,1,0.228,3.5,0.228,0
4.109,1,0.231,3.5,0.231,0
4.1487,1,0.234,3.5,0.234,0
4.1884,1,0.237,3.5,0.237,0
4.228,1,0.24,3.5,0.24,0
4.2677,1,0.243,3.5,0.243,0
4.3074,1,0.246,3.5,0.246,0
4.3471,1,0.249,3.5,0.249,0
4.3867,1,0.252,3.5,0.252,0
4.4264,1,0.255,3.5,0.255,0
4.4661,1,0.258,3.5,0.258,0
4.5058,1,0.261,3.5,0.261,0
4.5455,1,0.264,3.5,0.264,0
4.5852,1,0.267,3.5,0.267,0
4.6249,1,0.27,3.5,0.27,0
4.6646,1,0.273,3.5,0.273,0
4.7043,1,0.276,3.5,0.276,0
4.744,1,0.279,3.5,0.279,0
4.7837,1,0.282,3.5,0.282,0
4.8234,1,0.285,3.5,0.285,0
4.8631,1,0.288,3.5,0.288,0
4.9028,1,0.291,3.5,0.291,0
4.9425,1,0.294,3.5,0.294,0
4.9823,1,0.297,3.5,0.297,0
5.022,1,0.3,3.5,0.3,0
5.0617,1,0.303,3.5,0.303,0
5.1014,1,0.306,3.5,0.306,0
5.1411,1,0.309,3.5,0.309,0
5.1809,1,0.312,3.5,0.312,0
5.2206,1,0.315,3.5,0.315,0
5.2603,1,0.318,3.5,0.318,0
5.3001,1,0.321,3.5,0.321,0
5.3398,1,0.324,3.5,0.324,0
5.3795,1,0.327,3.5,0.327,0
5.4193,1,0.33,3.5,0.33,0
5.459,1,0.333,3.5,0.333,0
5.4987,1,0.336,3.5,0.336,0
5.5385,1,0.339,3.5,0.339,0
5.5782,1,0.342,3.5,0.342,0
5.618,1,0.345,3.5,0.345,0
5.6523,1,0.348,3.5,0.348,0
5.6801,1,0.351,3.5,0.351,0
5.7079,1,0.354,3.5,0.354,0
5.7358,1,0.357,3.5,0.357,0
5.7637,1,0.36,3.5,0.36,0
5.7916,1,0.363,3.5,0.363,0
5.8195,1,0.366,3.5,0.366,0
5.8474,1,0.369,3.5,0.369,0
5.8754,1,0.372,3.5,0.372,0
5.9033,1,0.375,3.5,0.375,0
5.9313,1,0.378,3.5,0.378,0
5.9593,1,0.381,3.5,0.381,0
5.9873,1,0.384,3.5,0.384,0
