"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1859,1,0,3.5,0,0
1.2385,1,0.003,3.5,0.003,0
1.2911,1,0.006,3.5,0.006,0
1.3437,1,0.009,3.5,0.009,0
1.3963,1,0.012,3.5,0.012,0
1.4489,1,0.015,3.5,0.015,0
1.5015,1,0.018,3.5,0.018,0
1.5541,1,0.021,3.5,0.021,0
1.6067,1,0.024,3.5,0.024,0
1.6593,1,0.027,3.5,0.027,0
1.7119,1,0.03,3.5,0.03,0
1.7645,1,0.033,3.5,0.033,0
1.8171,1,0.036,3.5,0.036,0
1.8697,1,0.039,3.5,0.039,0
1.9223,1,0.042,3.5,0.042,0
1.9749,1,0.045,3.5,0.045,0
2.0275,1,0.048,3.5,0.048,0
2.0801,1,0.051,3.5,0.051,0
2.1327,1,0.054,3.5,0.054,0
2.1853,1,0.057,3.5,0.057,0
2.2379,1,0.06,3.5,0.06,0
2.2905,1,0.063,3.5,0.063,0
2.3431,1,0.066,3.5,0.066,0
2.3957,1,0.069,3.5,0.069,0
2.4483,1,0.072,3.5,0.072,0
2.5009,1,0.075,3.5,0.075,0
2.5535,1,0.078,3.5,0.078,0
2.6061,1,0.081,3.5,0.081,0
2.6586,1,0.084,3.5,0.084,0
2.7112,1,0.087,3.5,0.087,0
2.7638,1,0.09,3.5,0.09,0
2.8164,1,0.093,3.5,0.093,0
2.869,1,0.096,3.5,0.096,0
2.9216,1,0.099,3.5,0.099,0
2.9742,1,0.102,3.5,0.102,0
3.0268,1,0.105,3.5,0.105,0
3.0794,1,0.108,3.5,0.108,0
3.132,1,0.111,3.5,0.111,0
3.1846,1,0.114,3.5,0.114,0
3.2371,1,0.117,3.5,0.117,0
3.2897,1,0.12,3.5,0.12,0
3.3423,1,0.123,3.5,0.123,0
3.3949,1,0.126,3.5,0.126,0
3.4475,1,0.129,3.5,0.129,0
3.5001,1,0.132,3.5,0.132,0
3.5527,1,0.135,3.5,0.135,0
3.6053,1,0.138,3.5,0.138,0
3.6578,1,0.141,3.5,0.141,0
3.7104,1,0.144,3.5,0.144,0
3.763,1,0.147,3.5,0.147,0
3.8156,1,0.15,3.5,0.15,0
3.8682,1,0.153,3.5,0.153,0
3.9208,1,0.156,3.5,0.156,0
3.9733,1,0.159,3.5,0.159,0
4.0259,1,0.162,3.5,0.162,0
4.0785,1,0.165,3.5,0.165,0
4.1311,1,0.168,3.5,0.168,0
4.1837,1,0.171,3.5,0.171,0
4.2362,1,0.174,3.5,0.174,0
4.2888,1,0.177,3.5,0.177,0
4.3414,1,0.18,3.5,0.18,0
4.3904,1,0.183,3.5,0.183,0
4.427,1,0.186,3.5,0.186,0
4.4636,1,0.189,3.5,0.189,0
4.5001,1,0.192,3.5,0.192,0
4.5367,1,0.195,3.5,0.195,0
4.5732,1,0.198,3.5,0.198,0
4.6097,1,0.201,3.5,0.201,0
4.6462,1,0.204,3.5,0.204,0
4.6826,1,0.207,3.5,0.207,0
4.7191,1,0.21,3.5,0.21,0
4.7555,1,0.213,3.5,0.213,0
4.7919,1,0.216,3.5,0.216,0
4.8284,1,0.219,3.5,0.219,0
4.8648,1,0.222,3.5,0.222,0
4.9011,1,0.225,3.5,0.225,0
4.9375,1,0.228,3.5,0.228,0
4.9739,1,0.231,3.5,0.231,0
5.0102,1,0.234,3.5,0.234,0
5.0466,1,0.237,3.5,0.237,0
5.0829,1,0.24,3.5,0.24,0
5.1192,1,0.243,3.5,0.243,0
5.1556,1,0.246,3.5,0.246,0
5.1919,1,0.249,3.5,0.249,0
5.2281,1,0.252,3.5,0.252,0
5.2644,1,0.255,3.5,0.255,0
5.3007,1,0.258,3.5,0.258,0
5.337,1,0.261,3.5,0.261,0
5.3732,1,0.264,3.5,0.264,0
5.4095,1,0.267,3.5,0.267,0
