"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.07033,1,0,0,0.5,0
0.079518,1,0.001,0.001,0.5,0
0.088706,1,0.002,0.002,0.5,0
0.097895,1,0.003,0.003,0.5,0
0.10708,1,0.004,0.004,0.5,0
0.11627,1,0.005,0.005,0.5,0
0.12546,1,0.006,0.006,0.5,0
0.13465,1,0.007,0.007,0.5,0
0.14384,1,0.008,0.008,0.5,0
0.15302,1,0.009,0.009,0.5,0
0.16221,1,0.01,0.01,0.5,0
0.1714,1,0.011,0.011,0.5,0
0.18059,1,0.012,0.012,0.5,0
0.18978,1,0.013,0.013,0.5,0
0.19897,1,0.014,0.014,0.5,0
0.20815,1,0.015,0.015,0.5,0
0.21734,1,0.016,0.016,0.5,0
0.22653,1,0.017,0.017,0.5,0
0.23572,1,0.018,0.018,0.5,0
0.24491,1,0.019,0.019,0.5,0
0.25409,1,0.02,0.02,0.5,0
0.26328,1,0.021,0.021,0.5,0
0.27247,1,0.022,0.022,0.5,0
0.28166,1,0.023,0.023,0.5,0
0.29085,1,0.024,0.024,0.5,0
0.30004,1,0.025,0.025,0.5,0
0.30922,1,0.026,0.026,0.5,0
0.31841,1,0.027,0.027,0.5,0
0.3276,1,0.028,0.028,0.5,0
0.33679,1,0.029,0.029,0.5,0
0.34598,1,0.03,0.03,0.5,0
0.35517,1,0.031,0.031,0.5,0
0.36435,1,0.032,0.032,0.5,0
0.37354,1,0.033,0.033,0.5,0
0.38273,1,0.034,0.034,0.5,0
0.39192,1,0.035,0.035,0.5,0
0.40111,1,0.036,0.036,0.5,0
0.4103,1,0.037,0.037,0.5,0
0.41948,1,0.038,0.038,0.5,0
0.42867,1,0.039,0.039,0.5,0
0.43786,1,0.04,0.04,0.5,0
0.44705,1,0.041,0.041,0.5,0
0.45624,1,0.042,0.042,0.5,0
0.46543,1,0.043,0.043,0.5,0
0.47461,1,0.044,0.044,0.5,0
0.4838,1,0.045,0.045,0.5,0
0.49299,1,0.046,0.046,0.5,0
0.50218,1,0.047,0.047,0.5,0
0.51137,1,0.048,0.048,0.5,0
0.52055,1,0.049,0.049,0.5,0
0.52974,1,0.05,0.05,0.5,0
0.53893,1,0.051,0.051,0.5,0
0.54812,1,0.052,0.052,0.5,0
0.55731,1,0.053,0.053,0.5,0
0.5665,1,0.054,0.054,0.5,0
0.57568,1,0.055,0.055,0.5,0
0.58487,1,0.056,0.056,0.5,0
0.59406,1,0.057,0.057,0.5,0
0.60325,1,0.058,0.058,0.5,0
0.61244,1,0.059,0.059,0.5,0
0.62163,1,0.06,0.06,0.5,0
0.63081,1,0.061,0.061,0.5,0
0.64,1,0.062,0.062,0.5,0
0.64919,1,0.063,0.063,0.5,0
0.65838,1,0.064,0.064,0.5,0
0.66757,1,0.065,0.065,0.5,0
0.67676,1,0.066,0.066,0.5,0
0.68594,1,0.067,0.067,0.5,0
0.69513,1,0.068,0.068,0.5,0
0.70432,1,0.069,0.069,0.5,0
0.71351,1,0.07,0.07,0.5,0
0.7227,1,0.071,0.071,0.5,0
0.73188,1,0.072,0.072,0.5,0
0.74107,1,0.073,0.073,0.5,0
0.75026,1,0.074,0.074,0.5,0
0.75945,1,0.075,0.075,0.5,0
0.76864,1,0.076,0.076,0.5,0
0.77783,1,0.077,0.077,0.5,0
0.78701,1,0.078,0.078,0.5,0
0.7962,1,0.079,0.079,0.5,0
0.80539,1,0.08,0.08,0.5,0
0.81458,1,0.081,0.081,0.5,0
0.82377,1,0.082,0.082,0.5,0
0.83296,1,0.083,0.083,0.5,0
0.84214,1,0.084,0.084,0.5,0
0.85133,1,0.085,0.085,0.5,0
0.86052,1,0.086,0.086,0.5,0
0.86971,1,0.087,0.087,0.5,0
0.8789,1,0.088,0.088,0.5,0
0.88809,1,0.089,0.089,0.5,0
0.89727,1,0.09,0.09,0.5,0
0.90646,1,0.091,0.091,0.5,0
0.91565,1,0.092,0.092,0.5,0
0.92484,1,0.093,0.093,0.5,0
0.93403,1,0.094,0.094,0.5,0
0.94321,1,0.095,0.095,0.5,0
0.9524,1,0.096,0.096,0.5,0
0.96159,1,0.097,0.097,0.5,0
0.97078,1,0.098,0.098,0.5,0
0.97997,1,0.099,0.099,0.5,0
0.98916,1,0.1,0.1,0.5,0
0.99834,1,0.101,0.101,0.5,0
1.0075,1,0.102,0.102,0.5,0
1.0167,1,0.103,0.103,0.5,0
1.0259,1,0.104,0.104,0.5,0
1.0351,1,0.105,0.105,0.5,0
1.0443,1,0.106,0.106,0.5,0
1.0535,1,0.107,0.107,0.5,0
1.0627,1,0.108,0.108,0.5,0
1.0719,1,0.109,0.109,0.5,0
1.081,1,0.11,0.11,0.5,0
1.0902,1,0.111,0.111,0.5,0
1.0994,1,0.112,0.112,0.5,0
1.1086,1,0.113,0.113,0.5,0
1.1178,1,0.114,0.114,0.5,0
1.127,1,0.115,0.115,0.5,0
1.1362,1,0.116,0.116,0.5,0
1.1454,1,0.117,0.117,0.5,0
1.1545,1,0.118,0.118,0.5,0
1.1637,1,0.119,0.119,0.5,0
1.1729,1,0.12,0.12,0.5,0
1.1821,1,0.121,0.121,0.5,0
1.1913,1,0.122,0.122,0.5,0
1.2005,1,0.123,0.123,0.5,0
1.2097,1,0.124,0.124,0.5,0
1.2189,1,0.125,0.125,0.5,0
