"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00075219,1,0,0,0.5,0
0.010003,1,0.001,0.001,0.5,0
0.019253,1,0.002,0.002,0.5,0
0.028503,1,0.003,0.003,0.5,0
0.037754,1,0.004,0.004,0.5,0
0.047004,1,0.005,0.005,0.5,0
0.056255,1,0.006,0.006,0.5,0
0.065505,1,0.007,0.007,0.5,0
0.074755,1,0.008,0.008,0.5,0
0.084006,1,0.009,0.009,0.5,0
0.093256,1,0.01,0.01,0.5,0
0.10251,1,0.011,0.011,0.5,0
0.11176,1,0.012,0.012,0.5,0
0.12101,1,0.013,0.013,0.5,0
0.13026,1,0.014,0.014,0.5,0
0.13951,1,0.015,0.015,0.5,0
0.14876,1,0.016,0.016,0.5,0
0.15801,1,0.017,0.017,0.5,0
0.16726,1,0.018,0.018,0.5,0
0.17651,1,0.019,0.019,0.5,0
0.18576,1,0.02,0.02,0.5,0
0.19501,1,0.021,0.021,0.5,0
0.20426,1,0.022,0.022,0.5,0
0.21351,1,0.023,0.023,0.5,0
0.22276,1,0.024,0.024,0.5,0
0.23201,1,0.025,0.025,0.5,0
0.24126,1,0.026,0.026,0.5,0
0.25051,1,0.027,0.027,0.5,0
0.25976,1,0.028,0.028,0.5,0
0.26901,1,0.029,0.029,0.5,0
0.27826,1,0.03,0.03,0.5,0
0.28751,1,0.031,0.031,0.5,0
0.29676,1,0.032,0.032,0.5,0
0.30601,1,0.033,0.033,0.5,0
0.31527,1,0.034,0.034,0.5,0
0.32452,1,0.035,0.035,0.5,0
0.33377,1,0.036,0.036,0.5,0
0.34302,1,0.037,0.037,0.5,0
0.35227,1,0.038,0.038,0.5,0
0.36152,1,0.039,0.039,0.5,0
0.37077,1,0.04,0.04,0.5,0
0.38002,1,0.041,0.041,0.5,0
0.38927,1,0.042,0.042,0.5,0
0.39852,1,0.043,0.043,0.5,0
0.40777,1,0.044,0.044,0.5,0
0.41702,1,0.045,0.045,0.5,0
0.42627,1,0.046,0.046,0.5,0
0.43552,1,0.047,0.047,0.5,0
0.44477,1,0.048,0.048,0.5,0
0.45402,1,0.049,0.049,0.5,0
0.46327,1,0.05,0.05,0.5,0
0.47252,1,0.051,0.051,0.5,0
0.48177,1,0.052,0.052,0.5,0
0.49102,1,0.053,0.053,0.5,0
0.50027,1,0.054,0.054,0.5,0
0.50952,1,0.055,0.055,0.5,0
0.51877,1,0.056,0.056,0.5,0
0.52802,1,0.057,0.057,0.5,0
0.53727,1,0.058,0.058,0.5,0
0.54653,1,0.059,0.059,0.5,0
0.55578,1,0.06,0.06,0.5,0
0.56503,1,0.061,0.061,0.5,0
0.57428,1,0.062,0.062,0.5,0
0.58353,1,0.063,0.063,0.5,0
0.59278,1,0.064,0.064,0.5,0
0.60203,1,0.065,0.065,0.5,0
0.61128,1,0.066,0.066,0.5,0
0.62053,1,0.067,0.067,0.5,0
0.62978,1,0.068,0.068,0.5,0
0.63903,1,0.069,0.069,0.5,0
0.64828,1,0.07,0.07,0.5,0
0.65753,1,0.071,0.071,0.5,0
0.66678,1,0.072,0.072,0.5,0
0.67603,1,0.073,0.073,0.5,0
0.68528,1,0.074,0.074,0.5,0
0.69453,1,0.075,0.075,0.5,0
0.70378,1,0.076,0.076,0.5,0
0.71303,1,0.077,0.077,0.5,0
0.72228,1,0.078,0.078,0.5,0
0.73153,1,0.079,0.079,0.5,0
0.74078,1,0.08,0.08,0.5,0
0.75003,1,0.081,0.081,0.5,0
0.75928,1,0.082,0.082,0.5,0
0.76853,1,0.083,0.083,0.5,0
0.77778,1,0.084,0.084,0.5,0
0.78704,1,0.085,0.085,0.5,0
0.79629,1,0.086,0.086,0.5,0
0.80554,1,0.087,0.087,0.5,0
0.81479,1,0.088,0.088,0.5,0
0.82404,1,0.089,0.089,0.5,0
0.83329,1,0.09,0.09,0.5,0
0.84254,1,0.091,0.091,0.5,0
0.85179,1,0.092,0.092,0.5,0
0.86104,1,0.093,0.093,0.5,0
0.87029,1,0.094,0.094,0.5,0
0.87954,1,0.095,0.095,0.5,0
0.88879,1,0.096,0.096,0.5,0
0.89804,1,0.097,0.097,0.5,0
0.90729,1,0.098,0.098,0.5,0
0.91654,1,0.099,0.099,0.5,0
0.92579,1,0.1,0.1,0.5,0
0.93504,1,0.101,0.101,0.5,0
0.94429,1,0.102,0.102,0.5,0
0.95354,1,0.103,0.103,0.5,0
0.96279,1,0.104,0.104,0.5,0
0.97204,1,0.105,0.105,0.5,0
0.98129,1,0.106,0.106,0.5,0
0.99054,1,0.107,0.107,0.5,0
0.99979,1,0.108,0.108,0.5,0
1.009,1,0.109,0.109,0.5,0
1.0183,1,0.11,0.11,0.5,0
1.0275,1,0.111,0.111,0.5,0
1.0368,1,0.112,0.112,0.5,0
1.046,1,0.113,0.113,0.5,0
1.0553,1,0.114,0.114,0.5,0
1.0645,1,0.115,0.115,0.5,0
1.0738,1,0.116,0.116,0.5,0
1.083,1,0.117,0.117,0.5,0
1.0923,1,0.118,0.118,0.5,0
1.1015,1,0.119,0.119,0.5,0
1.1108,1,0.12,0.12,0.5,0
1.12,1,0.121,0.121,0.5,0
1.1293,1,0.122,0.122,0.5,0
1.1385,1,0.123,0.123,0.5,0
1.1478,1,0.124,0.124,0.5,0
1.1586,1,0.125,0.125,0.5,0
1.1643,1,0.126,0.126,0.5,0
