"phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.071647,1,0,0,0.5,0
0.080812,1,0.001,0.001,0.5,0
0.089977,1,0.002,0.002,0.5,0
0.099142,1,0.003,0.003,0.5,0
0.10831,1,0.004,0.004,0.5,0
0.11747,1,0.005,0.005,0.5,0
0.12664,1,0.006,0.006,0.5,0
0.1358,1,0.007,0.007,0.5,0
0.14497,1,0.008,0.008,0.5,0
0.15413,1,0.009,0.009,0.5,0
0.1633,1,0.01,0.01,0.5,0
0.17246,1,0.011,0.011,0.5,0
0.18163,1,0.012,0.012,0.5,0
0.19079,1,0.013,0.013,0.5,0
0.19996,1,0.014,0.014,0.5,0
0.20912,1,0.015,0.015,0.5,0
0.21829,1,0.016,0.016,0.5,0
0.22745,1,0.017,0.017,0.5,0
0.23662,1,0.018,0.018,0.5,0
0.24578,1,0.019,0.019,0.5,0
0.25495,1,0.02,0.02,0.5,0
0.26411,1,0.021,0.021,0.5,0
0.27327,1,0.022,0.022,0.5,0
0.28244,1,0.023,0.023,0.5,0
0.2916,1,0.024,0.024,0.5,0
0.30077,1,0.025,0.025,0.5,0
0.30993,1,0.026,0.026,0.5,0
0.3191,1,0.027,0.027,0.5,0
0.32826,1,0.028,0.028,0.5,0
0.33743,1,0.029,0.029,0.5,0
0.34659,1,0.03,0.03,0.5,0
0.35576,1,0.031,0.031,0.5,0
0.36492,1,0.032,0.032,0.5,0
0.37409,1,0.033,0.033,0.5,0
0.38325,1,0.034,0.034,0.5,0
0.39242,1,0.035,0.035,0.5,0
0.40158,1,0.036,0.036,0.5,0
0.41075,1,0.037,0.037,0.5,0
0.41991,1,0.038,0.038,0.5,0
0.42908,1,0.039,0.039,0.5,0
0.43824,1,0.04,0.04,0.5,0
0.44741,1,0.041,0.041,0.5,0
0.45657,1,0.042,0.042,0.5,0
0.46574,1,0.043,0.043,0.5,0
0.4749,1,0.044,0.044,0.5,0
0.48407,1,0.045,0.045,0.5,0
0.49323,1,0.046,0.046,0.5,0
0.5024,1,0.047,0.047,0.5,0
0.51156,1,0.048,0.048,0.5,0
0.52073,1,0.049,0.049,0.5,0
0.52989,1,0.05,0.05,0.5,0
0.53906,1,0.051,0.051,0.5,0
0.54822,1,0.052,0.052,0.5,0
0.55739,1,0.053,0.053,0.5,0
0.56655,1,0.054,0.054,0.5,0
0.57572,1,0.055,0.055,0.5,0
0.58488,1,0.056,0.056,0.5,0
0.59405,1,0.057,0.057,0.5,0
0.60321,1,0.058,0.058,0.5,0
0.61238,1,0.059,0.059,0.5,0
0.62154,1,0.06,0.06,0.5,0
0.63071,1,0.061,0.061,0.5,0
0.63987,1,0.062,0.062,0.5,0
0.64904,1,0.063,0.063,0.5,0
0.6582,1,0.064,0.064,0.5,0
0.66737,1,0.065,0.065,0.5,0
0.67653,1,0.066,0.066,0.5,0
0.6857,1,0.067,0.067,0.5,0
0.69486,1,0.068,0.068,0.5,0
0.70403,1,0.069,0.069,0.5,0
0.71319,1,0.07,0.07,0.5,0
0.72236,1,0.071,0.071,0.5,0
0.73152,1,0.072,0.072,0.5,0
0.74069,1,0.073,0.073,0.5,0
0.74985,1,0.074,0.074,0.5,0
0.75902,1,0.075,0.075,0.5,0
0.76818,1,0.076,0.076,0.5,0
0.77735,1,0.077,0.077,0.5,0
0.78651,1,0.078,0.078,0.5,0
0.79567,1,0.079,0.079,0.5,0
0.80484,1,0.08,0.08,0.5,0
0.814,1,0.081,0.081,0.5,0
0.82317,1,0.082,0.082,0.5,0
0.83233,1,0.083,0.083,0.5,0
0.8415,1,0.084,0.084,0.5,0
0.85066,1,0.085,0.085,0.5,0
0.85983,1,0.086,0.086,0.5,0
0.86899,1,0.087,0.087,0.5,0
0.87816,1,0.088,0.088,0.5,0
0.88732,1,0.089,0.089,0.5,0
0.89649,1,0.09,0.09,0.5,0
0.90565,1,0.091,0.091,0.5,0
0.91482,1,0.092,0.092,0.5,0
0.92398,1,0.093,0.093,0.5,0
0.93315,1,0.094,0.094,0.5,0
0.94231,1,0.095,0.095,0.5,0
0.95148,1,0.096,0.096,0.5,0
0.96064,1,0.097,0.097,0.5,0
0.96981,1,0.098,0.098,0.5,0
0.97897,1,0.099,0.099,0.5,0
0.98814,1,0.1,0.1,0.5,0
0.9973,1,0.101,0.101,0.5,0
1.0065,1,0.102,0.102,0.5,0
1.0156,1,0.103,0.103,0.5,0
1.0248,1,0.104,0.104,0.5,0
1.034,1,0.105,0.105,0.5,0
